dataset_name,file_path,crs,resolution_meters,extent,total_pixels,valid_pixels,coverage_percentage,num_bands,band_names,data_type,years_covered,category,file_size_mb
DynamicWorld_DW_fractions_SA_1km_2017,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2017.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2017_water; dw2017_trees; dw2017_grass; dw2017_flooded_vegetation; dw2017_crops; dw2017_shrub_and_scrub; dw2017_built; dw2017_bare; dw2017_snow_and_ice,float32,2017,DynamicWorld,788.46
DynamicWorld_DW_fractions_SA_1km_2018,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2018.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2018_water; dw2018_trees; dw2018_grass; dw2018_flooded_vegetation; dw2018_crops; dw2018_shrub_and_scrub; dw2018_built; dw2018_bare; dw2018_snow_and_ice,float32,2018,DynamicWorld,795.38
DynamicWorld_DW_fractions_SA_1km_2019,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2019.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2019_water; dw2019_trees; dw2019_grass; dw2019_flooded_vegetation; dw2019_crops; dw2019_shrub_and_scrub; dw2019_built; dw2019_bare; dw2019_snow_and_ice,float32,2019,DynamicWorld,796.88
DynamicWorld_DW_fractions_SA_1km_2020,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2020.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2020_water; dw2020_trees; dw2020_grass; dw2020_flooded_vegetation; dw2020_crops; dw2020_shrub_and_scrub; dw2020_built; dw2020_bare; dw2020_snow_and_ice,float32,2020,DynamicWorld,797.32
DynamicWorld_DW_fractions_SA_1km_2021,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2021.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2021_water; dw2021_trees; dw2021_grass; dw2021_flooded_vegetation; dw2021_crops; dw2021_shrub_and_scrub; dw2021_built; dw2021_bare; dw2021_snow_and_ice,float32,2021,DynamicWorld,794.04
DynamicWorld_DW_fractions_SA_1km_2022,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2022.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2022_water; dw2022_trees; dw2022_grass; dw2022_flooded_vegetation; dw2022_crops; dw2022_shrub_and_scrub; dw2022_built; dw2022_bare; dw2022_snow_and_ice,float32,2022,DynamicWorld,795.46
DynamicWorld_DW_fractions_SA_1km_2023,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2023.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2023_water; dw2023_trees; dw2023_grass; dw2023_flooded_vegetation; dw2023_crops; dw2023_shrub_and_scrub; dw2023_built; dw2023_bare; dw2023_snow_and_ice,float32,2023,DynamicWorld,796.27
DynamicWorld_DW_fractions_SA_1km_2024,/Users/gianluca/Desktop/Master's Thesis/code/data/DynamicWorld/DW_fractions_SA_1km_2024.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,9,dw2024_water; dw2024_trees; dw2024_grass; dw2024_flooded_vegetation; dw2024_crops; dw2024_shrub_and_scrub; dw2024_built; dw2024_bare; dw2024_snow_and_ice,float32,2024,DynamicWorld,799.28
GPW_GPW_population_density_SA_1km_2000,/Users/gianluca/Desktop/Master's Thesis/code/data/GPW/GPW_population_density_SA_1km_2000.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,1,population_density_2000,float32,2000,GPW,33.12
GPW_GPW_population_density_SA_1km_2005,/Users/gianluca/Desktop/Master's Thesis/code/data/GPW/GPW_population_density_SA_1km_2005.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,1,population_density_2005,float32,2005,GPW,33.16
GPW_GPW_population_density_SA_1km_2010,/Users/gianluca/Desktop/Master's Thesis/code/data/GPW/GPW_population_density_SA_1km_2010.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,1,population_density_2010,float32,2010,GPW,33.16
GPW_GPW_population_density_SA_1km_2015,/Users/gianluca/Desktop/Master's Thesis/code/data/GPW/GPW_population_density_SA_1km_2015.tif,EPSG:3857,1000.00x0.00,"(-12185000.0000, -7542000.0000, -3210000.0000, 1505000.0000)",81196825,20729138,25.53,1,population_density_2015,float32,2015,GPW,33.17
