biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
5,403395,402593.0,2475.0,132154.0
86,106490,106186.0,141.0,51912.0
45,98078,95877.0,39.0,46158.0
56,305023,263633.0,610.0,43366.0
87,65151,65010.0,1.0,41065.0
11,298929,277022.0,1923.0,39827.0
39,90930,84146.0,22.0,39006.0
37,61622,55270.0,1693.0,28743.0
55,34199,31025.0,2439.0,24591.0
79,85947,81535.0,70.0,22085.0
0,41131,40152.0,857.0,20924.0
23,33231,32066.0,27.0,20198.0
35,36548,35734.0,3.0,15628.0
26,24168,24156.0,0.0,14378.0
90,241339,240648.0,2.0,13972.0
7,62043,61930.0,14.0,13607.0
96,69323,69233.0,11.0,13071.0
81,38252,35943.0,350.0,11109.0
61,43271,34782.0,1.0,10709.0
98,78580,75963.0,3.0,8635.0
70,111796,111180.0,60.0,8399.0
44,14470,14218.0,1.0,7396.0
6,91532,91337.0,7.0,7140.0
85,31632,31582.0,0.0,6491.0
99,30556,29763.0,0.0,6106.0
16,32872,28276.0,0.0,5242.0
46,7837,7443.0,0.0,4971.0
84,34527,32601.0,0.0,4618.0
77,41851,36015.0,0.0,4571.0
9,8524,8494.0,0.0,4237.0
22,53087,52166.0,1.0,4235.0
43,4448,4439.0,302.0,4176.0
60,35673,31977.0,3.0,4164.0
10,21011,20028.0,0.0,3842.0
38,4837,4446.0,65.0,3453.0
47,78660,65866.0,0.0,3163.0
64,4203,3339.0,27.0,3127.0
95,31543,31456.0,0.0,3016.0
57,17593,15922.0,0.0,2795.0
28,24163,23284.0,0.0,2671.0
101,27320,26311.0,0.0,2585.0
15,18810,17812.0,0.0,2437.0
63,20329,18318.0,0.0,2058.0
48,20451,19010.0,0.0,1689.0
49,71621,65119.0,0.0,1566.0
91,49918,49751.0,0.0,1517.0
74,16839,16785.0,0.0,1488.0
62,8030,6337.0,6.0,1485.0
68,10256,10179.0,0.0,1236.0
21,15044,14751.0,0.0,967.0
33,91700,82216.0,0.0,941.0
4,2192,2191.0,0.0,768.0
100,23482,22548.0,0.0,720.0
102,4330,4242.0,0.0,575.0
88,1605,1590.0,2.0,570.0
31,155908,135173.0,0.0,387.0
3,5219,5131.0,0.0,385.0
18,654,509.0,20.0,340.0
103,10920,10913.0,3.0,224.0
66,244,236.0,10.0,217.0
29,40064,35018.0,0.0,165.0
72,12113,10579.0,0.0,152.0
41,205,193.0,0.0,144.0
104,68561,68345.0,0.0,110.0
14,41757,39060.0,0.0,110.0
40,6492,5932.0,0.0,90.0
51,14513,14433.0,0.0,86.0
19,205,163.0,1.0,58.0
94,10063,9775.0,0.0,57.0
106,41424,40820.0,0.0,36.0
89,17427,17387.0,0.0,31.0
34,103,102.0,0.0,13.0
92,81232,81125.0,0.0,13.0
108,1250,1249.0,0.0,12.0
20,29,23.0,0.0,11.0
82,42784,42323.0,0.0,5.0
54,133,109.0,0.0,4.0
105,24681,24303.0,0.0,2.0
58,46092,45983.0,0.0,1.0
30,16576,15187.0,0.0,1.0
69,3610,3599.0,0.0,1.0
83,71502,70674.0,0.0,1.0
93,1683,1674.0,0.0,0.0
1,17,16.0,0.0,0.0
12,54152,53895.0,0.0,0.0
36,59,51.0,0.0,0.0
59,13333,13304.0,0.0,0.0
67,3752,3732.0,0.0,0.0
