iso_a3,country,total_km2,protected_2024_km2,current_pct_protected,unprotected_2024_km2,bau_new_km2,30x30_new_km2,projected_pct_2030_bau,projected_pct_2030_30x30,gap_to_30pct_km2
IDN,Indonesia,1742570.0,203873.0,0.117,1531628.0,2511.0,284705.0,0.1184,0.2804,34192.0
LAO,Laos,230067.0,45476.0,0.1977,184494.0,6721.0,114364.0,0.2269,0.6948,0.0
PHL,Philippines,260630.0,40512.0,0.1554,218234.0,431.0,107224.0,0.1571,0.5668,0.0
VNM,Vietnam,327359.0,48661.0,0.1486,277399.0,330.0,45811.0,0.1497,0.2886,3736.0
MMR,Myanmar,665194.0,45674.0,0.0687,616663.0,25.0,27607.0,0.0687,0.1102,126278.0
THA,Thailand,506755.0,100073.0,0.1975,405092.0,21.0,25626.0,0.1975,0.248,26327.0
MYS,Malaysia,329402.0,44023.0,0.1336,284542.0,27.0,22908.0,0.1337,0.2032,31890.0
KHM,Cambodia,181141.0,69801.0,0.3853,111249.0,36.0,22870.0,0.3855,0.5116,0.0
TLS,Timor-Leste,13695.0,2040.0,0.149,11664.0,2.0,2185.0,0.1491,0.3085,0.0
BRN,Brunei,8281.0,1227.0,0.1482,7049.0,0.0,9.0,0.1482,0.1493,1248.0
