iso_a3,country,current_pct_2024,bau_annual_rate_pct_yr,projected_30pct_year_bau,years_behind_2030_bau,required_rate_30x30_pct_yr
IDN,Indonesia,11.7,0.024,2106,+76,0.33
LAO,Laos,19.8,0.487,already met,0 (met),0.0
PHL,Philippines,15.5,0.028,already met,0 (met),0.0
VNM,Vietnam,14.9,0.017,2092,+62,0.19
MMR,Myanmar,6.9,0.001,32331,+30301,3.16
THA,Thailand,19.8,0.001,9546,+7516,0.87
MYS,Malaysia,13.4,0.001,9111,+7081,1.61
KHM,Cambodia,38.5,0.003,already met,0 (met),0.0
TLS,Timor-Leste,14.9,0.002,already met,0 (met),0.0
BRN,Brunei,14.8,0.0,>2200,>170,2.51
