biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
5,403395,402593.0,77.0,67506.0
87,65151,65010.0,0.0,53014.0
86,106490,106186.0,23.0,48615.0
12,54152,53895.0,0.0,41603.0
91,49918,49751.0,0.0,41293.0
90,241339,240648.0,0.0,36418.0
104,68561,68345.0,0.0,29910.0
58,46092,45983.0,0.0,23268.0
83,71502,70674.0,0.0,22357.0
26,24168,24156.0,0.0,20669.0
0,41131,40152.0,1055.0,19999.0
35,36548,35734.0,3.0,19030.0
105,24681,24303.0,0.0,17962.0
11,298929,277022.0,1485.0,16964.0
45,98078,95877.0,1076.0,15914.0
74,16839,16785.0,0.0,14701.0
39,90930,84146.0,1114.0,13425.0
21,15044,14751.0,0.0,12719.0
96,69323,69233.0,0.0,11782.0
55,34199,31025.0,1227.0,11650.0
82,42784,42323.0,0.0,11232.0
59,13333,13304.0,0.0,11040.0
37,61622,55270.0,1099.0,10566.0
22,53087,52166.0,1.0,9141.0
61,43271,34782.0,541.0,8956.0
56,305023,263633.0,821.0,8845.0
6,91532,91337.0,25.0,8739.0
103,10920,10913.0,9.0,8666.0
9,8524,8494.0,0.0,8247.0
79,85947,81535.0,115.0,8166.0
70,111796,111180.0,13.0,7373.0
106,41424,40820.0,0.0,6456.0
99,30556,29763.0,15.0,6430.0
51,14513,14433.0,0.0,6159.0
23,33231,32066.0,641.0,6084.0
92,81232,81125.0,0.0,5074.0
7,62043,61930.0,2.0,4896.0
95,31543,31456.0,13.0,4741.0
68,10256,10179.0,2.0,4042.0
3,5219,5131.0,0.0,4002.0
85,31632,31582.0,0.0,3868.0
94,10063,9775.0,0.0,3670.0
98,78580,75963.0,646.0,3564.0
67,3752,3732.0,0.0,2997.0
62,8030,6337.0,196.0,2416.0
44,14470,14218.0,81.0,1942.0
4,2192,2191.0,0.0,1842.0
81,38252,35943.0,88.0,1725.0
16,32872,28276.0,1.0,1714.0
93,1683,1674.0,0.0,1613.0
10,21011,20028.0,0.0,1428.0
64,4203,3339.0,80.0,1221.0
43,4448,4439.0,4.0,1204.0
38,4837,4446.0,167.0,1132.0
48,20451,19010.0,68.0,1112.0
47,78660,65866.0,89.0,1017.0
108,1250,1249.0,0.0,999.0
49,71621,65119.0,5.0,814.0
46,7837,7443.0,9.0,714.0
15,18810,17812.0,41.0,670.0
89,17427,17387.0,0.0,616.0
102,4330,4242.0,0.0,573.0
57,17593,15922.0,40.0,334.0
60,35673,31977.0,36.0,312.0
28,24163,23284.0,30.0,290.0
31,155908,135173.0,1.0,276.0
18,654,509.0,132.0,263.0
33,91700,82216.0,0.0,178.0
40,6492,5932.0,3.0,156.0
19,205,163.0,62.0,147.0
101,27320,26311.0,3.0,133.0
84,34527,32601.0,0.0,122.0
100,23482,22548.0,16.0,118.0
63,20329,18318.0,6.0,109.0
66,244,236.0,0.0,102.0
88,1605,1590.0,0.0,97.0
41,205,193.0,0.0,92.0
14,41757,39060.0,6.0,37.0
34,103,102.0,0.0,31.0
20,29,23.0,23.0,23.0
77,41851,36015.0,0.0,23.0
29,40064,35018.0,0.0,11.0
72,12113,10579.0,0.0,3.0
54,133,109.0,0.0,2.0
69,3610,3599.0,0.0,0.0
30,16576,15187.0,0.0,0.0
36,59,51.0,0.0,0.0
1,17,16.0,0.0,0.0
