iso_a3,country,total_km2,protected_2024_km2,current_pct_protected,unprotected_2024_km2,bau_new_km2,30x30_new_km2,projected_pct_2030_bau,projected_pct_2030_30x30,gap_to_30pct_km2
IDN,Indonesia,1742570.0,203873.0,0.117,1531628.0,115.0,502813.0,0.1171,0.4055,0.0
LAO,Laos,230067.0,45476.0,0.1977,184494.0,4281.0,41114.0,0.2163,0.3764,0.0
PHL,Philippines,260630.0,40512.0,0.1554,218234.0,2559.0,32498.0,0.1653,0.2801,5179.0
MYS,Malaysia,329402.0,44023.0,0.1336,284543.0,89.0,19499.0,0.1339,0.1928,35298.0
MMR,Myanmar,665194.0,45674.0,0.0687,616663.0,929.0,17881.0,0.0701,0.0955,136003.0
KHM,Cambodia,181141.0,69801.0,0.3853,111248.0,189.0,14934.0,0.3864,0.4678,0.0
THA,Thailand,506755.0,100073.0,0.1975,405092.0,859.0,5587.0,0.1992,0.2085,46366.0
VNM,Vietnam,327359.0,48661.0,0.1486,277400.0,391.0,3203.0,0.1498,0.1584,46344.0
TLS,Timor-Leste,13695.0,2040.0,0.149,11664.0,21.0,995.0,0.1505,0.2216,1074.0
BRN,Brunei,8281.0,1227.0,0.1482,7049.0,4.0,72.0,0.1487,0.157,1184.0
