iso_a3,country,total_km2,protected_2024_km2,current_pct_protected,unprotected_2024_km2,bau_new_km2,30x30_new_km2,projected_pct_2030_bau,projected_pct_2030_30x30,gap_to_30pct_km2
IDN,Indonesia,1742570.0,203873.0,0.117,1531627.0,140.0,508079.0,0.1171,0.4086,0.0
LAO,Laos,230067.0,45476.0,0.1977,184494.0,4398.0,45517.0,0.2168,0.3955,0.0
PHL,Philippines,260630.0,40512.0,0.1554,218234.0,2515.0,29712.0,0.1651,0.2694,7965.0
MYS,Malaysia,329402.0,44023.0,0.1336,284542.0,81.0,17901.0,0.1339,0.188,36896.0
MMR,Myanmar,665194.0,45674.0,0.0687,616663.0,863.0,17260.0,0.07,0.0946,136625.0
KHM,Cambodia,181141.0,69801.0,0.3853,111249.0,261.0,14790.0,0.3868,0.467,0.0
THA,Thailand,506755.0,100073.0,0.1975,405092.0,820.0,5425.0,0.1991,0.2082,46528.0
VNM,Vietnam,327359.0,48661.0,0.1486,277399.0,467.0,3292.0,0.1501,0.1587,46255.0
TLS,Timor-Leste,13695.0,2040.0,0.149,11664.0,24.0,831.0,0.1507,0.2096,1237.0
BRN,Brunei,8281.0,1227.0,0.1482,7049.0,7.0,69.0,0.1491,0.1566,1187.0
