ecoregion_id,ECO_NAME,BIOME_NAME,REALM,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct
13,Northern Annamites rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,121497,14248,11.727,0.9855,1.0
2,Central Indochina dry forests,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,921885,11560,1.254,0.968,0.1673
14,Northern Indochina subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,931371,10218,1.0971,0.9986,0.8554
9,Luang Prabang montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,195219,10007,5.126,0.8556,0.9887
19,Southeast Indochina dry evergreen forests,Tropical & Subtropical Dry Broadleaf Forests,Indomalayan,270439,6140,2.2704,0.9642,0.3976
11,Mindanao-Eastern Visayas rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,309143,5149,1.6656,0.9716,0.5455
16,Nujiang Langcang Gorge alpine conifer and mixed forests,Temperate Conifer Forests,Palearctic,16983,4284,25.2252,0.9966,1.0
9,Luzon rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,282840,3546,1.2537,0.9888,0.5138
15,Northern Triangle subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,131568,1389,1.0557,0.9976,0.7407
9,Luzon montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,17241,1365,7.9172,0.9691,0.9244
24,Tenasserim-South Thailand semi-evergreen rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,238253,1296,0.544,0.9911,0.3547
5,Greater Negros-Panay rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,103492,1271,1.2281,0.9876,0.4787
20,Southern Annamites montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,116021,1188,1.024,0.9829,0.6112
11,Mindanao montane rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,44506,548,1.2313,0.9946,0.5865
4,Chin Hills-Arakan Yoma montane forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,99393,510,0.5131,0.9994,0.5136
14,Northern Khorat Plateau moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,53070,291,0.5483,0.9826,0.3943
11,Mindoro rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,24566,193,0.7856,0.9953,0.4571
15,Northern Thailand-Laos moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,107166,98,0.0914,0.9995,0.0915
21,Sulawesi lowland rain forests,Tropical & Subtropical Moist Broadleaf Forests,Australasia,326389,86,0.0263,0.9999,0.0264
3,Chao Phraya lowland moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,56562,45,0.0796,0.9948,0.0673
12,Myanmar Coast mangroves,Mangroves,Indomalayan,66125,27,0.0408,0.7801,0.0061
10,Luzon tropical pine forests,Tropical & Subtropical Coniferous Forests,Indomalayan,19518,21,0.1076,0.9993,0.1077
7,Indochina mangroves,Mangroves,Indomalayan,73758,19,0.0258,0.9999,0.0258
12,Myanmar coastal rain forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,218044,12,0.0055,0.9989,0.0055
3,Chao Phraya freshwater swamp forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,125277,6,0.0048,0.9998,0.0048
7,Irrawaddy moist deciduous forests,Tropical & Subtropical Moist Broadleaf Forests,Indomalayan,467734,5,0.0011,1.0,0.0011
