feature,mean_abs_shap,mean_shap,pct_shap_positive
policy_b2,0.06651851972631881,-0.04122645752810084,45.800000000000004
policy_b3,0.03502800757292804,-0.020629355742695372,21.2
GPW,0.030714765869104838,-0.015942133573717928,43.8
economic_value_lag1,0.029101878432902493,-0.011664436111266122,66.4
policy_b1,0.026112368137958017,-0.010115854291313252,17.4
policy_b4,0.025042875455774757,-0.01683849281439573,17.8
dist_indigenous,0.02490716395738807,-0.01901274638666576,9.0
landcover,0.02217630678871553,-0.009703233095739604,34.4
WorldClim_b2,0.02055352972977945,-0.0128885618030433,37.8
GPW_smooth16,0.019057187706056678,-0.011285680485823056,38.0
WorldClim_b19,0.017890107150546584,-0.01273474084700808,18.8
WorldClim_b4,0.01785624805915992,-0.012995213805510697,28.999999999999996
WorldClim_b3,0.016655165784707663,-0.011696214754271989,32.4
WorldClim_b7,0.016345962633164107,-0.011735384283601746,23.599999999999998
WorldClim_b17,0.0144179061799816,-0.011138244057817622,18.0
WorldClim_b11,0.01336642076139275,-0.007708591143917786,45.2
GPW_smooth64,0.013036260470822375,-0.009736610400601727,30.0
elevation_b2_smooth16,0.013007724798555678,-0.007123486107147198,35.199999999999996
WorldClim_b15,0.012993390751830551,-0.009392407251637074,25.8
elevation_b2_smooth4,0.012766542072696032,-0.004861457286301176,42.4
