fold_idx,biome_name,n_test,n_test_pos,n_test_neg,positive_rate,n_train,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct,lift_at_1pct,lift_at_5pct,lift_at_10pct,brier_score
0,Mangroves,285627.0,46.0,285581.0,0.00016104920053076216,79288312.0,0.9566067679268031,0.00742739267664826,0.007703081232492998,0.0024508087668930747,0.0013654505986975703,0.4782608695652174,0.7608695652173914,0.8478260869565217,47.830608330288634,15.217764253508005,8.478468655525889,0.0018362722105461093
1,Montane Grasslands & Shrublands,13599.0,0.0,13599.0,0.0,81027097.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.209580483635064e-06
2,N/A,0.0,0.0,0.0,0.0,81118579.0,,,,,,,,,,,,
3,Temperate Broadleaf & Mixed Forests,24861.0,0.0,24861.0,0.0,80925412.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8741469528695293e-09
4,Temperate Conifer Forests,17094.0,4284.0,12810.0,0.25061425061425063,81009546.0,0.8222720053412986,0.6341228015310691,0.9705882352941176,0.9016393442622951,0.7413692217671153,0.03851540616246499,0.17973856209150327,0.2957516339869281,3.8728373702422143,3.5977177756348437,2.9582085613648617,0.1916075301075353
5,Tropical & Subtropical Coniferous Forests,25137.0,21.0,25116.0,0.000835421888053467,80958669.0,0.9911060299259057,0.6033054241366343,0.05976095617529881,0.01592356687898089,0.008356545961002786,0.7142857142857143,0.9523809523809523,1.0,71.53386454183267,19.06050955414013,10.002785515320335,0.0006642591198722605
6,Tropical & Subtropical Dry Broadleaf Forests,1651993.0,17702.0,1634291.0,0.010715541772876761,70036417.0,0.8179412242900952,0.040586822866994096,0.0786972577032508,0.04952844465429364,0.039667310334808324,0.07343802960117501,0.23110383007569765,0.37018415998192294,7.344216407466185,4.6221129742278,3.701848322332562,0.011536326825779169
7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12996.0,0.0,12996.0,0.0,81010717.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.110203297911018e-14
8,Tropical & Subtropical Moist Broadleaf Forests,10239060.0,51475.0,10187585.0,0.00502731696073663,15085112.0,0.8256703534318272,0.06610101613686623,0.08065240746166617,0.03732959861549791,0.026759292356915577,0.1604273919378339,0.37126760563380284,0.5322778047595921,16.042833203388977,7.425352112676056,5.3227780475959205,0.0049467072220568285
MEAN,— MEAN —,,,,,,0.882719276183186,0.2703086914696424,0.23948038757336526,0.20137435263559214,0.16350356420370787,0.29298548231048105,0.4990721030798695,0.609207937136993,29.324871970643734,9.984691334037368,6.092817820427913,0.04211821909715794
STD,— STD —,,,,,,0.0841304017128098,0.31891496495181926,0.40976091226248573,0.3918869383614206,0.323389276646341,0.2925528181174909,0.3406397361365698,0.304533464137197,29.28920095440173,6.8164584590474,3.046089660600756,0.08367361229669505
