fold_idx,biome_name,n_test,n_test_pos,n_test_neg,positive_rate,n_train,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct,lift_at_1pct,lift_at_5pct,lift_at_10pct,brier_score
0,Mangroves,285627.0,46.0,285581.0,0.00016104920053076216,31107649.0,0.9631571823908027,0.010374418238531054,0.008403361344537815,0.002310762551642042,0.0014004621525103285,0.5217391304347826,0.717391304347826,0.8695652173913043,52.178845451223964,14.34817772473612,8.69586528771886,0.0024346706416810237
1,Montane Grasslands & Shrublands,13599.0,0.0,13599.0,0.0,31114723.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004469467659172406
2,N/A,0.0,0.0,0.0,0.0,31118283.0,,,,,,,,,,,,
3,Temperate Broadleaf & Mixed Forests,24861.0,0.0,24861.0,0.0,31099214.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006400038983470471
4,Temperate Conifer Forests,17094.0,4284.0,12810.0,0.25061425061425063,31112057.0,0.9003862838395832,0.6926473898174952,0.8823529411764706,0.8407494145199064,0.7554125219426565,0.0350140056022409,0.1676003734827264,0.30135387488328663,3.52076124567474,3.3547550167608025,3.014244082653541,0.15068864042230512
5,Tropical & Subtropical Coniferous Forests,25137.0,21.0,25116.0,0.000835421888053467,31117704.0,0.8030585701393155,0.2245121904098035,0.05179282868525897,0.011146496815286623,0.005968961400716275,0.6190476190476191,0.6666666666666666,0.7142857142857143,61.996015936254985,13.34235668789809,7.144846796657382,0.0018067945194399752
6,Tropical & Subtropical Dry Broadleaf Forests,1651993.0,17702.0,1634291.0,0.010715541772876761,30801198.0,0.85503105862701,0.07627612543766427,0.1394757551909922,0.08345137350331118,0.0549276932669084,0.13015478477008247,0.38939102926223024,0.5125974466162015,13.016211232924686,7.787881870288982,5.125983774888702,0.01052945609588143
7,"Tropical & Subtropical Grasslands, Savannas & Shrublands",12996.0,0.0,12996.0,0.0,31096988.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009403417090077105
8,Tropical & Subtropical Moist Broadleaf Forests,10239060.0,51475.0,10187585.0,0.00502731696073663,15085112.0,0.6538930679389761,0.017608207941691604,0.028147280007813264,0.007787824272931304,0.006287686564977644,0.055988343856240894,0.07745507527926178,0.12507042253521128,5.598867194498309,1.5491015055852353,1.2507042253521126,0.0061357243559261865
MEAN,— MEAN —,,,,,,0.8351052325871375,0.20428366636903714,0.22203443328101455,0.18908917433261554,0.16479946506555382,0.2723887767421932,0.4037008898077422,0.5045745351423436,27.262140212115334,8.076454561053847,5.04632883345412,0.03431905720704674
STD,— STD —,,,,,,0.11717592887943444,0.28624411495706104,0.37250809864810486,0.3658006167053073,0.33088817452528724,0.2764753106673597,0.287200815366387,0.3010744725714205,27.673007102304165,5.745613443021975,3.011036926154125,0.06514558043535258
