model,biome,rank,feature,importance_score,method,n_samples
RF,Tropical & Subtropical Moist Broadleaf Forests,1,WorldClim_b2,0.10534912337673567,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,2,GPW_smooth64,0.08093161164792351,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,3,WorldClim_b4,0.07231335217657053,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,4,WorldClim_b3,0.06381814446134712,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,5,GPW_smooth16,0.05749326891004762,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,6,elevation_b2_smooth4,0.05588221480837554,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,7,GSN_b5_smooth64,0.046245789489624864,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,8,dist_road,0.04539522629002942,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,9,WorldClim_b9,0.041418722914322456,permutation,1000
RF,Tropical & Subtropical Moist Broadleaf Forests,10,policy_b2,0.04131407062623025,permutation,1000
