,,transition_01_win5,transition_01_win5,transition_01_win5,deforestation_b1_smooth64,deforestation_b1_smooth64,deforestation_b1_smooth64,NDVI_b1_smooth64,NDVI_b1_smooth64,GPW_b1,GPW_b1,dist_wdpa,dist_wdpa
,,mean,sum,count,mean,median,std,mean,median,mean,median,mean,median
year,split,,,,,,,,,,,,
2000,Train,0.014,16238,1160277,63.8549,67.2,30.72,6151.019,6411.446,34.0547,2.8268,1478847.3285,1488501.5956
2001,Train,0.0174,17841,1026548,32.7891,29.641,21.3046,6426.691,6553.5493,33.8791,3.9057,45960.5509,37443.2905
2002,Train,0.0118,12164,1026535,31.6054,28.4236,20.5901,6482.446,6699.1157,33.879,3.9057,45950.2793,37443.2905
2003,Train,0.0158,16074,1015915,31.0441,27.8054,20.253,6404.257,6570.7646,34.2175,4.247,45417.8966,36400.5494
2004,Train,0.0297,30167,1015899,29.4192,26.2539,19.2516,6466.4155,6700.9155,34.2151,4.247,45257.1215,36221.5406
2005,Train,0.0244,24763,1015886,28.2802,25.1128,18.5967,6507.702,6675.9756,38.2533,4.7027,45254.0645,36221.5406
2006,Train,0.024,24211,1010310,26.9242,23.7096,17.826,6468.976,6631.174,38.2697,4.34,43066.0847,33421.5499
2007,Train,0.0195,19700,1008694,25.4136,22.2695,16.8977,6453.3833,6589.952,38.1351,4.34,42035.2746,32140.3174
2008,Train,0.0167,16741,1003751,24.0078,20.8638,16.1519,6399.026,6486.4067,37.1601,4.244,40871.6549,30805.8436
2009,Train,0.0037,3702,999825,22.3533,19.2029,15.2501,6448.025,6568.3457,37.1424,4.1984,39099.3712,29068.8837
2010,Train,0.0059,5835,985719,20.9425,17.9646,14.4362,6421.0557,6518.666,42.2358,5.3627,37371.1423,27018.5122
2011,Train,0.006,5960,985547,19.4672,16.2151,13.7071,6453.1187,6565.669,42.2345,5.3627,37119.7544,26627.0539
2012,Train,0.0085,8345,984483,16.9617,13.2341,12.9165,6530.5376,6673.573,42.1888,5.3627,36228.4978,25961.51
2013,Train,0.0145,14220,984051,15.8612,12.094,12.4504,6439.1553,6657.251,42.1962,5.3627,35383.4878,25179.3566
2014,Train,0.0175,17229,983084,14.5642,10.8199,11.8069,6416.792,6529.3203,42.1661,5.3023,35261.9425,25000.0
2015,Val,0.0163,16013,982017,13.8984,10.2805,11.3616,6439.996,6590.956,48.0586,5.529,34144.7924,24041.6306
2016,Val,0.0167,16327,979712,12.3801,9.0186,10.3723,6428.171,6623.1587,48.0008,5.3586,32446.4001,22847.3193
2017,Val,0.0142,13906,978523,9.7087,7.1514,8.2703,6689.94,6867.837,47.9778,5.3586,32217.6946,22472.2051
2018,Test,0.0082,7997,975706,8.1669,6.1324,6.799,6447.17,6650.06,47.9449,5.3125,30564.1074,21377.5583
2019,Test,0.0053,5107,968864,6.7988,4.9758,5.7234,6419.4224,6626.8726,48.0653,5.3125,29688.2532,20591.2603
