biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
244,574966,465656.0,4852.0,73018.0
132,373357,361272.0,6816.0,70329.0
28,1823728,1686977.0,2008.0,68678.0
220,809526,791291.0,1932.0,64387.0
100,714599,629132.0,1754.0,38395.0
232,315347,289380.0,1610.0,31779.0
60,117082,115541.0,2546.0,31078.0
188,438645,425822.0,1804.0,29310.0
52,200743,200267.0,3781.0,25511.0
204,78590,78275.0,1942.0,24809.0
196,68651,68412.0,3032.0,21052.0
200,205236,203678.0,1821.0,20679.0
144,714080,537849.0,262.0,20291.0
68,611626,564697.0,1650.0,19725.0
112,184439,182402.0,931.0,18545.0
180,441206,406085.0,2483.0,17260.0
44,158666,155827.0,116.0,16510.0
152,160435,159844.0,1825.0,16257.0
128,230869,167144.0,588.0,14658.0
192,82034,67301.0,461.0,14053.0
216,102409,101636.0,984.0,10331.0
116,172892,166694.0,255.0,9903.0
76,266002,163413.0,985.0,8963.0
228,1255363,692278.0,645.0,8711.0
208,57513,57022.0,507.0,8535.0
120,137749,132273.0,556.0,6913.0
96,16674,16600.0,877.0,6433.0
36,52818,51016.0,239.0,6421.0
92,187251,176708.0,130.0,6246.0
0,21647,15352.0,1187.0,6220.0
32,18909,18819.0,255.0,5886.0
156,102652,102499.0,836.0,5685.0
212,160173,159664.0,146.0,5583.0
240,257237,223346.0,1959.0,5381.0
124,86738,78692.0,275.0,4862.0
8,108843,108785.0,104.0,4630.0
64,14226,14071.0,55.0,3644.0
88,670414,444266.0,192.0,3439.0
24,51686,50769.0,172.0,3396.0
184,118397,111960.0,21.0,3251.0
172,17056,16653.0,113.0,3035.0
84,350219,311296.0,22.0,3012.0
236,45284,44944.0,307.0,2882.0
4,35911,35857.0,148.0,2680.0
72,58116,57605.0,288.0,2555.0
168,338727,272408.0,26.0,2522.0
164,342542,329492.0,212.0,2375.0
16,22112,21565.0,71.0,2145.0
12,584938,387123.0,13.0,1755.0
104,833281,672424.0,2.0,1673.0
136,125129,124939.0,186.0,1616.0
80,74855,63813.0,243.0,1543.0
148,20787,20772.0,16.0,492.0
224,5410,5403.0,26.0,475.0
252,2845,2836.0,7.0,338.0
48,1815,1759.0,0.0,116.0
160,327,293.0,81.0,114.0
176,44518,41229.0,0.0,78.0
248,432906,294260.0,0.0,33.0
40,13189,12882.0,0.0,4.0
140,2531,2465.0,0.0,0.0
20,75851,68205.0,0.0,0.0
