rank,cluster_id,n_pixels,area_km2,mean_score,centroid_lon,centroid_lat,dominant_country,dominant_landcover,agri_frac,mean_dist_wdpa_km,biodiversity_frac,climate_stab_frac,lon_min,lon_max,lat_min,lat_max,label
1,0,61419,60903.0,0.04306,-75.32,3.61,Unknown,Forest,0.004,10.2,,,-83.52,-66.88,-10.71,14.24,C1. Unknown (Forest)
2,2,8630,8546.0,0.05034,-62.31,-4.72,Unknown,Forest,0.0,5.6,,,-71.11,-54.66,-13.88,5.35,C2. Unknown (Forest)
3,4,7459,7446.0,0.0439,-53.72,-2.01,Unknown,Forest,0.0,12.0,,,-60.91,-46.33,-8.75,4.6,C3. Unknown (Forest)
4,34,13274,6948.0,0.04469,-72.89,-43.65,Unknown,Forest,0.0,11.9,,,-77.84,-68.08,-50.72,-32.44,C4. Unknown (Forest)
5,32,8687,6163.0,0.09805,-70.1,-32.6,Unknown,Bare / Other,0.0,7.4,,,-75.01,-65.87,-38.21,-26.44,C5. Unknown (Bare / Other)
6,16,5129,5021.0,0.03725,-37.32,-8.3,Unknown,Savanna / Grassland,0.001,9.3,,,-43.6,-31.8,-14.0,-2.87,C6. Unknown (Savanna / Grassland)
7,18,3201,2982.0,0.03045,-39.54,-15.11,Unknown,Forest,0.0,10.2,,,-44.53,-35.39,-21.02,-9.46,C7. Unknown (Forest)
8,24,3240,2717.0,0.04371,-54.76,-23.67,Unknown,Savanna / Grassland,0.079,6.4,,,-59.9,-50.14,-28.79,-17.68,C8. Unknown (Savanna / Grassland)
9,23,2933,2588.0,0.14354,-68.84,-20.07,Unknown,Bare / Other,0.0,9.4,,,-72.21,-65.49,-23.82,-16.51,C9. Unknown (Bare / Other)
10,26,2451,2081.0,0.04682,-48.24,-22.84,Unknown,Savanna / Grassland,0.01,10.8,,,-53.84,-42.09,-27.79,-17.83,C10. Unknown (Savanna / Grassland)
