iso,country,new_designated_km2,sweet_spot_km2,biodiv_priority_km2,alignment_pct
ARG,Argentina,25315.0,1093.0,54986.0,4.3
URY,Uruguay,349.0,8.0,36567.0,2.3
BRA,Brazil,383779.0,5298.0,94585.0,1.4
CHL,Chile,63174.0,705.0,5309.0,1.1
VEN,Venezuela,137.0,1.0,4829.0,0.7
COL,Colombia,211917.0,1290.0,4141.0,0.6
GUY,Guyana,1701.0,3.0,154.0,0.2
PRY,Paraguay,4830.0,8.0,12015.0,0.2
ECU,Ecuador,26171.0,30.0,56.0,0.1
PER,Peru,60753.0,63.0,2053.0,0.1
SUR,Suriname,851.0,1.0,5.0,0.1
BOL,Bolivia,1246.0,0.0,12645.0,0.0
