iso_a3,country,total_km2,protected_2024_km2,current_pct_protected,unprotected_2024_km2,bau_new_km2,30x30_new_km2,projected_pct_2030_bau,projected_pct_2030_30x30,gap_to_30pct_km2
BRA,Brazil,8521553.0,2600460.0,0.3052,5906593.0,17442.0,383779.0,0.3072,0.3502,0.0
COL,Colombia,1151369.0,204143.0,0.1773,945610.0,20750.0,211917.0,0.1953,0.3614,0.0
CHL,Chile,759505.0,202031.0,0.266,528496.0,8340.0,63174.0,0.277,0.3492,0.0
PER,Peru,1300291.0,246329.0,0.1894,1053600.0,1771.0,60753.0,0.1908,0.2362,83005.0
ECU,Ecuador,249532.0,53341.0,0.2138,195376.0,2444.0,26171.0,0.2236,0.3186,0.0
ARG,Argentina,2775676.0,282367.0,0.1017,2491943.0,1781.0,25315.0,0.1024,0.1108,525020.0
PRY,Paraguay,403153.0,71174.0,0.1765,332163.0,415.0,4830.0,0.1776,0.1885,44941.0
GUY,Guyana,211165.0,19334.0,0.0916,191376.0,16.0,1701.0,0.0916,0.0996,42315.0
BOL,Bolivia,1091310.0,259398.0,0.2377,831742.0,223.0,1246.0,0.2379,0.2388,66750.0
SUR,Suriname,144854.0,23124.0,0.1596,121668.0,0.0,851.0,0.1596,0.1655,19482.0
URY,Uruguay,177081.0,13458.0,0.076,163426.0,1.0,349.0,0.076,0.078,39317.0
VEN,Venezuela,906575.0,509327.0,0.5618,395990.0,27.0,137.0,0.5618,0.562,0.0
