iso_a3,country,total_km2,protected_2024_km2,current_pct_protected,unprotected_2024_km2,bau_new_km2,30x30_new_km2,projected_pct_2030_bau,projected_pct_2030_30x30,gap_to_30pct_km2
BRA,Brazil,8521553.0,2600460.0,0.3052,5906590.0,17608.0,390044.0,0.3072,0.3509,0.0
COL,Colombia,1151369.0,204143.0,0.1773,945610.0,22521.0,222736.0,0.1969,0.3708,0.0
PER,Peru,1300291.0,246329.0,0.1894,1053600.0,1947.0,58439.0,0.1909,0.2344,85320.0
CHL,Chile,759505.0,202031.0,0.266,528497.0,7049.0,53929.0,0.2753,0.337,0.0
ECU,Ecuador,249532.0,53341.0,0.2138,195376.0,2222.0,25718.0,0.2227,0.3168,0.0
ARG,Argentina,2775676.0,282367.0,0.1017,2491944.0,1386.0,21276.0,0.1022,0.1094,529060.0
PRY,Paraguay,403153.0,71174.0,0.1765,332163.0,371.0,4181.0,0.1775,0.1869,45590.0
GUY,Guyana,211165.0,19334.0,0.0916,191376.0,17.0,1599.0,0.0916,0.0991,42416.0
BOL,Bolivia,1091310.0,259398.0,0.2377,831743.0,220.0,1248.0,0.2379,0.2388,66747.0
SUR,Suriname,144854.0,23124.0,0.1596,121668.0,0.0,1115.0,0.1596,0.1673,19217.0
URY,Uruguay,177081.0,13458.0,0.076,163426.0,2.0,274.0,0.076,0.0775,39392.0
VEN,Venezuela,906575.0,509327.0,0.5618,395990.0,20.0,143.0,0.5618,0.562,0.0
