biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
31,1812472,1676114.0,2008.0,68678.0
15,693104,675573.0,1913.0,58721.0
69,319596,315145.0,1958.0,45703.0
73,87847,86920.0,5422.0,42034.0
1,520426,436534.0,1511.0,28517.0
133,250665,145966.0,2893.0,27315.0
71,398817,387521.0,1232.0,25829.0
43,78590,78275.0,1942.0,24809.0
85,194182,193751.0,3530.0,22446.0
89,68646,68407.0,3032.0,21052.0
9,105509,96314.0,860.0,20066.0
74,71290,69799.0,1369.0,19990.0
130,150636,150499.0,1601.0,18899.0
4,256848,205752.0,246.0,18704.0
121,480465,464200.0,1465.0,18492.0
103,70496,69483.0,782.0,15771.0
39,46586,46057.0,1764.0,15308.0
32,198266,143403.0,583.0,14280.0
22,27119,26905.0,1622.0,14229.0
112,82034,67301.0,461.0,14053.0
117,122717,89915.0,2270.0,13978.0
10,244057,219581.0,240.0,11788.0
131,92604,91000.0,49.0,10534.0
102,100082,99382.0,984.0,10331.0
124,94711,93917.0,723.0,9726.0
101,162552,156537.0,253.0,9244.0
75,153416,57121.0,985.0,8958.0
60,89728,88484.0,208.0,8819.0
137,180001,178039.0,533.0,8229.0
84,51221,50872.0,503.0,7911.0
97,1058256,510483.0,574.0,7891.0
88,16674,16600.0,877.0,6433.0
111,187251,176708.0,130.0,6246.0
0,21647,15352.0,1187.0,6220.0
3,54249,53440.0,67.0,5975.0
72,18909,18819.0,255.0,5886.0
63,102652,102499.0,836.0,5685.0
79,116422,115718.0,19.0,5666.0
125,160173,159664.0,146.0,5583.0
78,25995,25981.0,540.0,5488.0
28,257237,223346.0,1959.0,5381.0
65,155504,154258.0,184.0,5025.0
129,38669,38340.0,60.0,4852.0
18,108843,108785.0,104.0,4630.0
49,28462,27405.0,233.0,4420.0
53,318489,316170.0,213.0,3282.0
30,113165,106775.0,18.0,3205.0
55,52334,52189.0,55.0,3082.0
21,6561,6517.0,251.0,3064.0
99,17056,16653.0,113.0,3035.0
80,10734,10600.0,35.0,2697.0
105,35911,35857.0,148.0,2680.0
58,338727,272408.0,26.0,2522.0
118,6894,6321.0,142.0,2389.0
100,22112,21565.0,71.0,2145.0
70,537866,329675.0,91.0,2103.0
29,191432,167767.0,22.0,2034.0
135,32103,32088.0,201.0,2034.0
86,133316,132939.0,203.0,2028.0
113,24356,23611.0,6.0,2000.0
81,320764,310030.0,210.0,1847.0
115,7627,7605.0,124.0,1821.0
2,9586,9412.0,220.0,1780.0
119,34404,26503.0,220.0,1779.0
59,584938,387123.0,13.0,1755.0
34,56018,55510.0,94.0,1700.0
42,833127,672356.0,1.0,1663.0
114,122273,122087.0,186.0,1615.0
132,457232,332097.0,16.0,1588.0
116,67967,56993.0,243.0,1541.0
7,7725,6213.0,370.0,1447.0
14,111754,106292.0,16.0,1426.0
6,121401,103695.0,101.0,1330.0
57,131161,100496.0,186.0,1233.0
51,37657,37340.0,183.0,1061.0
54,44792,44448.0,30.0,1007.0
93,158787,143529.0,0.0,978.0
16,3492,3471.0,20.0,947.0
98,2098,2096.0,194.0,855.0
33,197107,181796.0,71.0,821.0
37,10340,10157.0,2.0,659.0
20,6292,6150.0,4.0,624.0
17,21778,19463.0,2.0,528.0
45,20787,20772.0,16.0,492.0
56,5410,5403.0,26.0,475.0
96,32603,23742.0,5.0,378.0
87,2813,2806.0,7.0,333.0
104,144,114.0,81.0,114.0
108,1410,1361.0,0.0,107.0
12,44518,41229.0,0.0,78.0
94,5232,5185.0,3.0,47.0
46,432906,294260.0,0.0,33.0
106,154,67.0,0.0,11.0
44,405,398.0,0.0,9.0
134,11147,10896.0,0.0,6.0
11,112586,106292.0,0.0,5.0
23,32,30.0,0.0,5.0
90,13189,12882.0,0.0,4.0
52,6888,6820.0,0.0,2.0
50,2856,2852.0,0.0,1.0
67,11813,11387.0,0.0,1.0
66,45014,43766.0,0.0,0.0
40,183,179.0,0.0,0.0
5,4705,4546.0,0.0,0.0
25,5,5.0,0.0,0.0
77,5702,5517.0,0.0,0.0
91,2531,2465.0,0.0,0.0
13,70149,62688.0,0.0,0.0
38,2327,2255.0,0.0,0.0
95,11256,10864.0,0.0,0.0
