iso_a3,country,total_km2,protected_2024_km2,current_pct_protected,unprotected_2024_km2,bau_new_km2,30x30_new_km2,projected_pct_2030_bau,projected_pct_2030_30x30,gap_to_30pct_km2
BRA,Brazil,8521553.0,2600460.0,0.3052,5912320.0,18068.0,385822.0,0.3073,0.3504,0.0
COL,Colombia,1151369.0,204143.0,0.1773,944587.0,20762.0,212416.0,0.1953,0.3618,0.0
CHL,Chile,759505.0,202031.0,0.266,527707.0,8705.0,65310.0,0.2775,0.352,0.0
PER,Peru,1300291.0,246329.0,0.1894,1052611.0,1393.0,60783.0,0.1905,0.2362,82976.0
ARG,Argentina,2775676.0,282367.0,0.1017,2501542.0,1687.0,26667.0,0.1023,0.1113,523668.0
ECU,Ecuador,249532.0,53341.0,0.2138,196103.0,2366.0,26114.0,0.2232,0.3184,0.0
PRY,Paraguay,403153.0,71174.0,0.1765,331225.0,177.0,3788.0,0.177,0.1859,45984.0
GUY,Guyana,211165.0,19334.0,0.0916,193819.0,3.0,1566.0,0.0916,0.099,42449.0
BOL,Bolivia,1091310.0,259398.0,0.2377,831852.0,163.0,876.0,0.2378,0.2385,67120.0
SUR,Suriname,144854.0,23124.0,0.1596,122313.0,0.0,841.0,0.1596,0.1654,19492.0
URY,Uruguay,177081.0,13458.0,0.076,164038.0,1.0,318.0,0.076,0.0778,39349.0
VEN,Venezuela,906575.0,509327.0,0.5618,401364.0,28.0,98.0,0.5618,0.5619,0.0
