biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
28,1823728,1686977.0,2246.0,74272.0
244,574966,465656.0,5173.0,74102.0
132,373357,361272.0,7083.0,72271.0
220,809526,791291.0,1764.0,61215.0
100,714599,629132.0,1797.0,39715.0
232,315347,289380.0,1888.0,34797.0
60,117082,115541.0,2575.0,31262.0
188,438645,425822.0,1749.0,28368.0
52,200743,200267.0,3697.0,25649.0
204,78590,78275.0,1984.0,25535.0
144,714080,537849.0,323.0,22316.0
196,68651,68412.0,3247.0,21761.0
200,205236,203678.0,1635.0,20005.0
68,611626,564697.0,1434.0,18513.0
112,184439,182402.0,854.0,16737.0
152,160435,159844.0,1834.0,16013.0
192,82034,67301.0,554.0,15102.0
44,158666,155827.0,96.0,14606.0
180,441206,406085.0,2178.0,14519.0
128,230869,167144.0,524.0,13148.0
116,172892,166694.0,389.0,12040.0
216,102409,101636.0,1050.0,10370.0
208,57513,57022.0,523.0,8586.0
76,266002,163413.0,767.0,7936.0
228,1255363,692278.0,505.0,7599.0
36,52818,51016.0,336.0,7539.0
96,16674,16600.0,862.0,6896.0
120,137749,132273.0,595.0,6585.0
32,18909,18819.0,222.0,5966.0
0,21647,15352.0,1029.0,5941.0
156,102652,102499.0,813.0,5630.0
92,187251,176708.0,122.0,5588.0
212,160173,159664.0,197.0,5121.0
124,86738,78692.0,279.0,4485.0
240,257237,223346.0,1689.0,4484.0
64,14226,14071.0,72.0,4228.0
172,17056,16653.0,132.0,3810.0
24,51686,50769.0,202.0,3694.0
8,108843,108785.0,147.0,3420.0
4,35911,35857.0,149.0,2804.0
236,45284,44944.0,285.0,2787.0
164,342542,329492.0,223.0,2697.0
72,58116,57605.0,315.0,2606.0
184,118397,111960.0,7.0,2438.0
16,22112,21565.0,72.0,2415.0
88,670414,444266.0,106.0,2356.0
168,338727,272408.0,32.0,2353.0
84,350219,311296.0,10.0,1958.0
12,584938,387123.0,16.0,1772.0
136,125129,124939.0,200.0,1617.0
104,833281,672424.0,23.0,1483.0
80,74855,63813.0,220.0,1406.0
224,5410,5403.0,26.0,482.0
148,20787,20772.0,16.0,427.0
252,2845,2836.0,10.0,313.0
48,1815,1759.0,1.0,132.0
160,327,293.0,71.0,114.0
176,44518,41229.0,0.0,110.0
248,432906,294260.0,0.0,40.0
40,13189,12882.0,0.0,6.0
20,75851,68205.0,0.0,0.0
140,2531,2465.0,0.0,0.0
