iso_a3,country,current_pct_2024,bau_annual_rate_pct_yr,projected_30pct_year_bau,years_behind_2030_bau,required_rate_30x30_pct_yr
BRA,Brazil,30.5,0.034,already met,0 (met),0.0
COL,Colombia,17.7,0.3,already met,0 (met),0.0
CHL,Chile,26.6,0.183,already met,0 (met),0.0
PER,Peru,18.9,0.023,2305,+275,1.06
ECU,Ecuador,21.4,0.163,already met,0 (met),0.0
ARG,Argentina,10.2,0.011,3793,+1763,3.15
PRY,Paraguay,17.6,0.017,2674,+644,1.86
GUY,Guyana,9.2,0.001,17892,+15862,3.34
BOL,Bolivia,23.8,0.003,3820,+1790,1.02
SUR,Suriname,16.0,0.0,>2200,>170,2.24
URY,Uruguay,7.6,0.0,237926,+235896,3.7
VEN,Venezuela,56.2,0.0,already met,0 (met),0.0
