biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
15,693104,675573.0,2750.0,59851.0
31,1812472,1676114.0,926.0,59412.0
69,319596,315145.0,2776.0,51365.0
73,87847,86920.0,3548.0,47084.0
71,398817,387521.0,1766.0,32926.0
121,480465,464200.0,1006.0,28500.0
101,162552,156537.0,1462.0,27367.0
43,78590,78275.0,2077.0,25874.0
112,82034,67301.0,1773.0,24534.0
89,68646,68407.0,1911.0,24067.0
39,46586,46057.0,2387.0,23776.0
130,150636,150499.0,2537.0,23483.0
22,27119,26905.0,2060.0,21361.0
124,94711,93917.0,1068.0,17553.0
103,70496,69483.0,1158.0,17359.0
10,244057,219581.0,348.0,14637.0
1,520426,436534.0,645.0,13933.0
85,194182,193751.0,1049.0,13250.0
9,105509,96314.0,268.0,11797.0
133,250665,145966.0,1840.0,11098.0
102,100082,99382.0,1224.0,10882.0
4,256848,205752.0,220.0,10736.0
74,71290,69799.0,744.0,9854.0
79,116422,115718.0,43.0,9295.0
88,16674,16600.0,1220.0,9170.0
131,92604,91000.0,53.0,9039.0
86,133316,132939.0,665.0,8320.0
137,180001,178039.0,367.0,8303.0
63,102652,102499.0,1155.0,6894.0
84,51221,50872.0,443.0,6061.0
14,111754,106292.0,35.0,5987.0
125,160173,159664.0,162.0,5954.0
60,89728,88484.0,128.0,5759.0
78,25995,25981.0,612.0,5697.0
55,52334,52189.0,235.0,5666.0
75,153416,57121.0,759.0,5593.0
117,122717,89915.0,1233.0,5285.0
81,320764,310030.0,346.0,5205.0
105,35911,35857.0,269.0,4890.0
58,338727,272408.0,199.0,4594.0
80,10734,10600.0,303.0,4472.0
0,21647,15352.0,1040.0,4445.0
100,22112,21565.0,147.0,4395.0
72,18909,18819.0,264.0,4203.0
65,155504,154258.0,557.0,4143.0
53,318489,316170.0,377.0,4128.0
49,28462,27405.0,292.0,3713.0
93,158787,143529.0,41.0,3479.0
21,6561,6517.0,651.0,3422.0
18,108843,108785.0,106.0,3252.0
113,24356,23611.0,53.0,3122.0
54,44792,44448.0,348.0,3065.0
99,17056,16653.0,41.0,2961.0
118,6894,6321.0,415.0,2517.0
114,122273,122087.0,164.0,2468.0
30,113165,106775.0,378.0,2372.0
28,257237,223346.0,1083.0,2369.0
3,54249,53440.0,26.0,2362.0
51,37657,37340.0,454.0,2291.0
32,198266,143403.0,576.0,2289.0
2,9586,9412.0,631.0,2260.0
132,457232,332097.0,65.0,1969.0
97,1058256,510483.0,305.0,1823.0
42,833127,672356.0,98.0,1618.0
111,187251,176708.0,190.0,1569.0
34,56018,55510.0,162.0,1567.0
116,67967,56993.0,273.0,1527.0
37,10340,10157.0,278.0,1484.0
33,197107,181796.0,20.0,1458.0
115,7627,7605.0,165.0,1406.0
129,38669,38340.0,58.0,1268.0
7,7725,6213.0,283.0,1247.0
20,6292,6150.0,20.0,1201.0
108,1410,1361.0,39.0,1182.0
135,32103,32088.0,119.0,1173.0
12,44518,41229.0,0.0,1067.0
29,191432,167767.0,114.0,822.0
70,537866,329675.0,132.0,805.0
17,21778,19463.0,25.0,739.0
56,5410,5403.0,25.0,700.0
119,34404,26503.0,80.0,683.0
98,2098,2096.0,161.0,665.0
59,584938,387123.0,51.0,658.0
13,70149,62688.0,0.0,528.0
16,3492,3471.0,24.0,495.0
57,131161,100496.0,42.0,350.0
94,5232,5185.0,29.0,285.0
96,32603,23742.0,28.0,250.0
45,20787,20772.0,16.0,249.0
6,121401,103695.0,40.0,233.0
90,13189,12882.0,13.0,183.0
134,11147,10896.0,0.0,151.0
87,2813,2806.0,32.0,147.0
11,112586,106292.0,4.0,134.0
46,432906,294260.0,1.0,96.0
44,405,398.0,0.0,76.0
50,2856,2852.0,0.0,54.0
104,144,114.0,31.0,51.0
66,45014,43766.0,0.0,39.0
38,2327,2255.0,0.0,33.0
23,32,30.0,17.0,30.0
5,4705,4546.0,0.0,5.0
52,6888,6820.0,0.0,3.0
77,5702,5517.0,0.0,2.0
67,11813,11387.0,0.0,2.0
106,154,67.0,0.0,2.0
95,11256,10864.0,0.0,1.0
40,183,179.0,0.0,0.0
91,2531,2465.0,0.0,0.0
25,5,5.0,0.0,0.0
