rank,cluster_id,n_pixels,area_km2,mean_score,centroid_lon,centroid_lat,dominant_country,dominant_landcover,agri_frac,mean_dist_wdpa_km,biodiversity_frac,climate_stab_frac,lon_min,lon_max,lat_min,lat_max,label
1,0,56098,55610.0,0.05783,-75.41,2.63,COL,Forest,0.006,4.2,,,-83.5,-65.2,-13.55,15.33,C1. COL (Forest)
2,1,28727,28522.0,0.06983,-62.51,-3.43,BRA,Forest,0.0,3.1,,,-75.15,-51.1,-13.86,8.31,C2. BRA (Forest)
3,17,10952,9169.0,0.05074,-45.28,-23.74,BRA,Forest,0.005,2.0,,,-53.52,-36.95,-31.35,-16.04,C3. BRA (Forest)
4,2,6915,6903.0,0.07412,-51.78,-0.79,BRA,Forest,0.0,2.9,,,-57.92,-46.28,-8.83,7.52,C4. BRA (Forest)
5,9,4868,4761.0,0.0579,-36.93,-8.5,BRA,Savanna / Grassland,0.009,3.9,,,-42.71,-31.8,-13.97,-3.26,C5. BRA (Savanna / Grassland)
6,24,4064,2842.0,0.10848,-70.02,-33.25,CHL,Bare / Other,0.0,3.9,,,-74.97,-66.11,-37.79,-28.66,C6. CHL (Bare / Other)
7,4,2574,2565.0,0.06776,-74.75,-3.27,PER,Forest,0.0,12.2,,,-79.66,-69.84,-7.95,2.27,C7. PER (Forest)
8,8,2133,2068.0,0.03859,-41.86,-10.03,BRA,Savanna / Grassland,0.0,3.7,,,-45.89,-37.28,-14.61,-5.35,C8. BRA (Savanna / Grassland)
9,10,2000,1894.0,0.05047,-71.73,-13.27,PER,Forest,0.0,2.4,,,-76.68,-67.59,-17.95,-8.66,C9. PER (Forest)
10,27,3227,1665.0,0.0483,-72.81,-44.08,CHL,Forest,0.0,3.4,,,-77.07,-68.87,-48.67,-39.11,C10. CHL (Forest)
11,6,1596,1563.0,0.05112,-73.04,-8.21,BRA,Forest,0.0,2.1,,,-77.96,-67.64,-12.96,-3.42,C11. BRA (Forest)
12,15,1724,1440.0,0.03946,-54.8,-23.91,BRA,Savanna / Grassland,0.245,2.3,,,-59.77,-50.84,-28.76,-18.64,C12. BRA (Savanna / Grassland)
13,31,3695,1354.0,0.13549,-72.63,-52.74,CHL,Forest,0.0,6.4,,,-77.43,-67.94,-57.36,-48.48,C13. CHL (Forest)
14,3,1300,1300.0,0.05349,-47.5,-0.89,BRA,Savanna / Grassland,0.0,1.2,,,-52.28,-43.07,-4.76,2.78,C14. BRA (Savanna / Grassland)
15,14,1449,1278.0,0.10954,-68.85,-20.1,CHL,Bare / Other,0.0,5.1,,,-72.06,-65.57,-23.52,-16.75,C15. CHL (Bare / Other)
16,29,2388,1110.0,0.0674,-71.78,-47.03,ARG,Savanna / Grassland,0.0,2.2,,,-75.63,-68.12,-50.72,-43.55,C16. ARG (Savanna / Grassland)
17,13,1078,1000.0,0.03521,-39.26,-15.54,BRA,Forest,0.0,1.9,,,-43.27,-35.86,-21.0,-10.31,C17. BRA (Forest)
18,12,1051,971.0,0.03349,-48.26,-16.0,BRA,Urban,0.066,2.6,,,-52.7,-44.32,-20.13,-12.2,C18. BRA (Urban)
19,16,1022,880.0,0.03806,-52.56,-21.86,BRA,Savanna / Grassland,0.0,2.9,,,-56.41,-48.43,-26.27,-18.24,C19. BRA (Savanna / Grassland)
20,26,1368,759.0,0.08311,-73.69,-41.85,CHL,Forest,0.0,3.5,,,-77.14,-69.54,-45.79,-38.28,C20. CHL (Forest)
21,5,757,754.0,0.07027,-38.66,-3.78,BRA,Savanna / Grassland,0.033,2.0,,,-43.04,-34.35,-7.96,0.01,C21. BRA (Savanna / Grassland)
22,18,746,662.0,0.05308,-43.02,-19.6,BRA,Savanna / Grassland,0.001,2.8,,,-47.27,-39.49,-23.52,-15.94,C22. BRA (Savanna / Grassland)
23,25,874,606.0,0.03814,-61.72,-33.59,ARG,Agriculture,0.986,3.8,,,-65.32,-58.31,-36.76,-30.3,C23. ARG (Agriculture)
24,20,718,564.0,0.06784,-70.57,-27.6,CHL,Bare / Other,0.0,2.9,,,-74.16,-67.34,-31.09,-24.11,C24. CHL (Bare / Other)
25,21,748,556.0,0.0852,-70.35,-30.46,CHL,Bare / Other,0.0,3.0,,,-73.55,-67.12,-33.97,-27.04,C25. CHL (Bare / Other)
26,22,670,530.0,0.08875,-65.89,-27.25,ARG,Forest,0.0,1.9,,,-69.09,-62.65,-30.64,-23.92,C26. ARG (Forest)
27,23,647,487.0,0.04579,-50.93,-29.79,BRA,Forest,0.085,2.4,,,-54.47,-46.74,-33.64,-26.23,C27. BRA (Forest)
28,11,520,467.0,0.03273,-53.03,-18.66,BRA,Savanna / Grassland,0.037,5.4,,,-56.85,-48.62,-22.48,-14.99,C28. BRA (Savanna / Grassland)
29,30,913,373.0,0.05557,-75.07,-50.28,CHL,Savanna / Grassland,0.0,8.5,,,-78.44,-71.77,-53.45,-47.0,C29. CHL (Savanna / Grassland)
30,7,345,340.0,0.05003,-70.49,-6.92,BRA,Forest,0.0,1.7,,,-74.52,-66.34,-10.78,-3.21,C30. BRA (Forest)
31,19,399,326.0,0.046,-57.27,-25.36,PRY,Savanna / Grassland,0.0,2.2,,,-60.65,-53.92,-28.81,-22.15,C31. PRY (Savanna / Grassland)
32,28,379,204.0,0.05027,-65.19,-42.79,ARG,Shrubland,0.0,2.0,,,-68.7,-62.07,-46.74,-38.89,C32. ARG (Shrubland)
33,32,401,136.0,0.03587,-69.44,-54.31,CHL,Forest,0.0,9.0,,,-73.63,-65.62,-57.98,-50.82,C33. CHL (Forest)
