iso,country,new_designated_km2,sweet_spot_km2,biodiv_priority_km2,alignment_pct
URY,Uruguay,533.0,155.0,36567.0,29.0
ARG,Argentina,14380.0,742.0,54986.0,5.2
BRA,Brazil,406204.0,8257.0,94585.0,2.0
GUY,Guyana,3906.0,74.0,154.0,1.9
VEN,Venezuela,726.0,9.0,4829.0,1.2
COL,Colombia,211468.0,2155.0,4141.0,1.0
CHL,Chile,24536.0,209.0,5309.0,0.9
BOL,Bolivia,2320.0,8.0,12645.0,0.4
SUR,Suriname,1015.0,4.0,5.0,0.4
ECU,Ecuador,32397.0,44.0,56.0,0.1
PER,Peru,79192.0,83.0,2053.0,0.1
PRY,Paraguay,7345.0,11.0,12015.0,0.1
