iso_a3,country,total_km2,protected_2024_km2,current_pct_protected,unprotected_2024_km2,bau_new_km2,30x30_new_km2,projected_pct_2030_bau,projected_pct_2030_30x30,gap_to_30pct_km2
BRA,Brazil,8521553.0,2600460.0,0.3052,5912320.0,22664.0,408074.0,0.3078,0.353,0.0
COL,Colombia,1151369.0,204143.0,0.1773,944587.0,16465.0,220194.0,0.1916,0.3685,0.0
PER,Peru,1300291.0,246329.0,0.1894,1052611.0,4214.0,75235.0,0.1927,0.2473,68523.0
ECU,Ecuador,249532.0,53341.0,0.2138,196103.0,2789.0,30904.0,0.2249,0.3376,0.0
CHL,Chile,759505.0,202031.0,0.266,527707.0,4834.0,23099.0,0.2724,0.2964,2722.0
ARG,Argentina,2775676.0,282367.0,0.1017,2501542.0,1567.0,11790.0,0.1023,0.106,538545.0
PRY,Paraguay,403153.0,71174.0,0.1765,331225.0,382.0,5296.0,0.1775,0.1897,44475.0
GUY,Guyana,211165.0,19334.0,0.0916,193819.0,161.0,5151.0,0.0923,0.116,38864.0
BOL,Bolivia,1091310.0,259398.0,0.2377,831852.0,311.0,3706.0,0.238,0.2411,64290.0
VEN,Venezuela,906575.0,509327.0,0.5618,401364.0,63.0,1262.0,0.5619,0.5632,0.0
URY,Uruguay,177081.0,13458.0,0.076,164038.0,31.0,587.0,0.0762,0.0793,39080.0
SUR,Suriname,144854.0,23124.0,0.1596,122313.0,1.0,164.0,0.1596,0.1608,20168.0
