biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
132,373357,361272.0,4688.0,73906.0
244,574966,465656.0,4203.0,57943.0
220,809526,791291.0,2362.0,56441.0
28,1823728,1686977.0,368.0,53540.0
60,117082,115541.0,3549.0,40635.0
188,438645,425822.0,2265.0,35320.0
192,82034,67301.0,1809.0,30219.0
116,172892,166694.0,2112.0,28859.0
200,205236,203678.0,3254.0,27533.0
204,78590,78275.0,2084.0,26847.0
196,68651,68412.0,2049.0,26249.0
152,160435,159844.0,2763.0,26068.0
112,184439,182402.0,1396.0,25620.0
100,714599,629132.0,1323.0,24729.0
68,611626,564697.0,1034.0,24611.0
232,315347,289380.0,879.0,22497.0
52,200743,200267.0,1605.0,18761.0
144,714080,537849.0,160.0,14568.0
216,102409,101636.0,1477.0,13912.0
180,441206,406085.0,1639.0,11814.0
120,137749,132273.0,1204.0,10957.0
44,158666,155827.0,60.0,9452.0
96,16674,16600.0,1261.0,8856.0
156,102652,102499.0,1448.0,7611.0
212,160173,159664.0,114.0,6972.0
76,266002,163413.0,996.0,6909.0
24,51686,50769.0,629.0,6169.0
208,57513,57022.0,521.0,6048.0
36,52818,51016.0,179.0,5887.0
4,35911,35857.0,376.0,5579.0
32,18909,18819.0,230.0,5555.0
168,338727,272408.0,145.0,5443.0
164,342542,329492.0,372.0,5425.0
124,86738,78692.0,169.0,5139.0
64,14226,14071.0,327.0,5077.0
0,21647,15352.0,908.0,4808.0
172,17056,16653.0,27.0,4221.0
228,1255363,692278.0,427.0,3806.0
16,22112,21565.0,83.0,3698.0
236,45284,44944.0,688.0,3675.0
128,230869,167144.0,486.0,3479.0
136,125129,124939.0,195.0,3008.0
184,118397,111960.0,347.0,2697.0
84,350219,311296.0,87.0,2430.0
240,257237,223346.0,877.0,2148.0
72,58116,57605.0,289.0,2146.0
8,108843,108785.0,83.0,1991.0
92,187251,176708.0,117.0,1700.0
104,833281,672424.0,47.0,1601.0
12,584938,387123.0,104.0,1505.0
48,1815,1759.0,34.0,1263.0
80,74855,63813.0,277.0,1202.0
88,670414,444266.0,109.0,1146.0
224,5410,5403.0,36.0,698.0
176,44518,41229.0,0.0,543.0
20,75851,68205.0,0.0,359.0
148,20787,20772.0,16.0,284.0
40,13189,12882.0,5.0,229.0
252,2845,2836.0,27.0,210.0
248,432906,294260.0,1.0,102.0
160,327,293.0,30.0,60.0
140,2531,2465.0,0.0,0.0
