iso,country,new_designated_km2,sweet_spot_km2,biodiv_priority_km2,alignment_pct
GUY,Guyana,3906.0,1683.0,158200.0,43.1
PER,Peru,79192.0,29279.0,422474.0,37.0
COL,Colombia,211468.0,71157.0,487724.0,33.6
VEN,Venezuela,726.0,194.0,85763.0,26.7
ECU,Ecuador,32397.0,8132.0,63829.0,25.1
BRA,Brazil,406204.0,96319.0,1334496.0,23.7
BOL,Bolivia,2320.0,440.0,239041.0,19.0
SUR,Suriname,1015.0,126.0,101111.0,12.4
ARG,Argentina,14380.0,545.0,24389.0,3.8
PRY,Paraguay,7345.0,276.0,5035.0,3.8
CHL,Chile,24536.0,463.0,31746.0,1.9
URY,Uruguay,533.0,0.0,0.0,0.0
