ecoregion_id,ECO_NAME,BIOME_NAME,REALM,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct
18,Magellanic subpolar forests,Temperate Broadleaf & Mixed Forests,Neotropic,709943,109668,15.4474,0.9629,0.9963
32,Uatumã-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,495909,38523,7.7682,0.8562,0.7971
26,Rio Negro campinarana,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,136482,27160,19.9001,0.7893,0.5169
29,Southern Andean steppe,Montane Grasslands & Shrublands,Neotropic,397086,26835,6.758,0.9264,0.933
21,Negro-Branco moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,420519,19060,4.5325,0.8683,0.3153
3,Caatinga,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,2106994,16971,0.8055,0.8932,0.3724
15,Japurá-Solimões-Negro moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,325044,8857,2.7249,0.983,0.6489
28,Solimões-Japurá moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,384353,8767,2.281,0.9907,0.5072
33,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic,797717,8017,1.005,0.7411,0.3109
17,Llanos,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,971171,7598,0.7824,0.9054,0.3489
25,Peruvian Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,497188,6955,1.3989,0.9345,0.283
24,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropic,3191064,6879,0.2156,0.9988,0.2128
7,Cerrado,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,5444100,5145,0.0945,0.6846,0.0177
30,Southwest Amazon moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,1446581,5122,0.3541,0.923,0.0901
18,Magdalena Valley montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,270853,4077,1.5052,0.8067,0.36
17,Madeira-Tapajós moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,1204331,3950,0.328,0.9965,0.2974
18,Magdalena-Urabá moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,219677,3678,1.6743,0.9347,0.8147
10,Eastern Cordillera Real montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,240574,3509,1.4586,0.9208,0.1775
22,Northwest Andean montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,213160,3164,1.4843,0.9057,0.0244
14,High Monte,Montane Grasslands & Shrublands,Neotropic,396411,2928,0.7386,0.9965,0.5502
21,Monte Alegre várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,156592,2875,1.836,0.7852,0.3712
10,Dry Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,2502530,2573,0.1028,0.9916,0.087
8,Chilean Matorral,"Mediterranean Forests, Woodlands & Scrub",Neotropic,598143,2381,0.3981,0.4612,0.0732
7,Central Andean dry puna,Montane Grasslands & Shrublands,Neotropic,775215,2336,0.3013,0.79,0.0025
7,Central Andean wet puna,Montane Grasslands & Shrublands,Neotropic,342572,2213,0.646,0.982,0.4359
