BIOME_NAME,n_ecoregions,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct,Lift_at_1pct
"Mediterranean Forests, Woodlands & Scrub",1,598143,2381,0.3981,0.6229,0.0918,23.06
Tropical & Subtropical Moist Broadleaf Forests,41,16852053,150459,0.8928,0.7339,0.3228,36.15
"Tropical & Subtropical Grasslands, Savannas & Shrublands",7,11868861,16752,0.1411,0.8181,0.0844,59.78
Flooded Grasslands & Savannas,1,694428,486,0.07,0.8979,0.0527,75.31
Tropical & Subtropical Dry Broadleaf Forests,10,4147799,20948,0.505,0.903,0.3733,73.92
Montane Grasslands & Shrublands,7,2571166,36436,1.4171,0.9129,0.8388,59.19
Mangroves,3,96634,1869,1.9341,0.9768,0.6977,36.07
Temperate Broadleaf & Mixed Forests,2,1507741,117685,7.8054,0.9789,0.9759,12.5
Deserts & Xeric Shrublands,3,1197205,1642,0.1372,0.9871,0.129,94.03
"Temperate Grasslands, Savannas & Shrublands",3,7860915,6895,0.0877,0.9994,0.0876,99.88
N/A,1,3609,2040,56.5254,1.0,1.0,1.77
