ecoregion_id,ECO_NAME,BIOME_NAME,REALM,n_pixel_years,n_observed_PAs,prevalence_pct,ROC_AUC,Precision_at_1pct
18,Magellanic subpolar forests,Temperate Broadleaf & Mixed Forests,Neotropic,709943,109668,15.4474,0.9975,0.9808
32,Uatumã-Trombetas moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,495909,38523,7.7682,0.6536,0.9395
26,Rio Negro campinarana,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,136482,27160,19.9001,0.581,0.816
29,Southern Andean steppe,Montane Grasslands & Shrublands,Neotropic,397086,26835,6.758,0.9076,0.9965
21,Negro-Branco moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,420519,19060,4.5325,0.7324,0.3817
3,Caatinga,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,2106994,16971,0.8055,0.8705,0.5431
15,Japurá-Solimões-Negro moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,325044,8857,2.7249,0.9929,0.9462
28,Solimões-Japurá moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,384353,8767,2.281,1.0,1.0
33,Valdivian temperate forests,Temperate Broadleaf & Mixed Forests,Neotropic,797717,8017,1.005,0.7042,0.4094
17,Llanos,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,971171,7598,0.7824,0.8697,0.4768
25,Peruvian Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,497188,6955,1.3989,0.9808,0.5989
24,Patagonian steppe,"Temperate Grasslands, Savannas & Shrublands",Neotropic,3191064,6879,0.2156,0.9998,0.2155
7,Cerrado,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,5444100,5145,0.0945,0.5965,0.023
30,Southwest Amazon moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,1446581,5122,0.3541,0.97,0.1453
18,Magdalena Valley montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,270853,4077,1.5052,0.9071,0.7142
17,Madeira-Tapajós moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,1204331,3950,0.328,0.9986,0.3267
18,Magdalena-Urabá moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,219677,3678,1.6743,0.9843,0.903
10,Eastern Cordillera Real montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,240574,3509,1.4586,0.9722,0.7052
22,Northwest Andean montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,213160,3164,1.4843,0.9733,0.7447
14,High Monte,Montane Grasslands & Shrublands,Neotropic,396411,2928,0.7386,0.9996,0.7253
21,Monte Alegre várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,156592,2875,1.836,0.4674,0.1003
10,Dry Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,2502530,2573,0.1028,0.9512,0.0891
8,Chilean Matorral,"Mediterranean Forests, Woodlands & Scrub",Neotropic,598143,2381,0.3981,0.6229,0.0918
7,Central Andean dry puna,Montane Grasslands & Shrublands,Neotropic,775215,2336,0.3013,0.6248,0.0023
7,Central Andean wet puna,Montane Grasslands & Shrublands,Neotropic,342572,2213,0.646,0.9938,0.4397
9,Cordillera Oriental montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,143727,2152,1.4973,0.9744,0.7843
5,Cauca Valley dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,21860,2069,9.4648,0.9801,0.9037
26,Rock and Ice,N/A,N/A,3609,2040,56.5254,1.0,1.0
13,Guianan piedmont moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,137394,2012,1.4644,0.6732,0.0728
5,Cauca Valley montane forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,83771,1506,1.7978,0.9195,0.7479
22,Northern Andean páramo,Montane Grasslands & Shrublands,Neotropic,52337,1425,2.7227,0.815,0.5449
19,Marajó várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,95153,1417,1.4892,0.9926,0.7823
27,Sechura desert,Deserts & Xeric Shrublands,Neotropic,563754,1395,0.2474,0.999,0.2455
0,Amazon-Orinoco-Southern Caribbean mangroves,Mangroves,Neotropic,44044,1292,2.9334,0.9901,0.9159
0,Alto Paraná Atlantic forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,1574660,1067,0.0678,0.7111,0.0116
28,Serra do Mar coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,249445,1033,0.4141,0.9518,0.182
20,Marañón dry forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,33263,889,2.6726,0.9421,0.4096
25,Purus-Madeira moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,213120,816,0.3829,0.9997,0.3829
33,Uruguayan savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,1373404,722,0.0526,0.9979,0.0521
2,Bahia interior forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,732982,718,0.098,0.9866,0.0881
28,Sinú Valley dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,73971,608,0.8219,0.9975,0.7212
25,Pernambuco interior forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,66982,540,0.8062,0.9908,0.5187
29,Southern Andean Yungas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,204977,538,0.2625,0.999,0.2601
14,Humid Chaco,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,1017004,520,0.0511,0.9005,0.0278
24,Patía valley dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,6786,492,7.2502,0.989,0.9403
29,Southern Cone Mesopotamian savanna,Flooded Grasslands & Savannas,Neotropic,104064,486,0.467,0.9142,0.351
18,Magdalena Valley dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,57566,442,0.7678,0.9762,0.5878
9,Cordillera Central páramo,Montane Grasslands & Shrublands,Neotropic,31851,415,1.3029,0.9941,0.8774
8,Chocó-Darién moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,169151,391,0.2312,0.9978,0.2259
29,Southern Atlantic Brazilian mangroves,Mangroves,Neotropic,23276,328,1.4092,0.9271,0.1422
1,Atlantic Coast restingas,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,23893,320,1.3393,0.7995,0.1723
32,Ucayali moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,278240,291,0.1046,0.9862,0.0949
7,Central Andean puna,Montane Grasslands & Shrublands,Neotropic,575145,284,0.0494,0.9815,0.0476
15,Iquitos várzea,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,269453,266,0.0987,0.5609,0.0052
28,South American Pacific mangroves,Mangroves,Neotropic,29314,249,0.8494,0.9619,0.058
19,Maranhão Babaçu forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,349679,224,0.0641,0.9981,0.0618
12,Guajira-Barranquilla xeric scrub,Deserts & Xeric Shrublands,Neotropic,85810,214,0.2494,0.9423,0.1142
1,Araucaria moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,770806,213,0.0276,0.9617,0.0176
13,Guianan savanna,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Neotropic,157542,179,0.1136,0.6416,0.0495
31,Tocantins/Pindare moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,482126,142,0.0295,0.9977,0.0284
21,Napo moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,585645,114,0.0195,0.8333,0.0044
2,Bahia coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,317276,103,0.0325,0.9703,0.0158
32,Tumbes-Piura dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,116134,81,0.0697,0.7011,0.0
12,Guianan Highlands moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,113079,72,0.0637,0.9362,0.0115
11,Ecuadorian dry forests,Tropical & Subtropical Dry Broadleaf Forests,Neotropic,62423,36,0.0577,0.995,0.0449
24,Pernambuco coastal forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,51352,36,0.0701,0.9483,0.0253
5,Catatumbo moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,18927,34,0.1796,0.9995,0.1799
1,Atacama desert,Deserts & Xeric Shrublands,Neotropic,364245,33,0.0091,0.498,0.0027
4,Caqueta moist forests,Tropical & Subtropical Moist Broadleaf Forests,Neotropic,326604,28,0.0086,0.7032,0.0024
26,Rapa Nui and Sala y Gómez subtropical forests,Tropical & Subtropical Moist Broadleaf Forests,Oceania,470,19,4.0426,0.9764,1.0
