fold_idx,biome_name,n_test,n_test_pos,n_test_neg,positive_rate,n_train,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct,lift_at_1pct,lift_at_5pct,lift_at_10pct,brier_score
0,Deserts & Xeric Shrublands,1197205.0,1642.0,1195563.0,0.0013715278502846213,306959038.0,0.9052327201915971,0.013077163388919127,0.01687270297360508,0.014066154360173739,0.009589041095890411,0.12302070645554203,0.51278928136419,0.6991473812423873,12.302122024065083,10.255828459666139,6.991503011696394,0.0015527175661487096
1,Flooded Grasslands & Savannas,694428.0,486.0,693942.0,0.0006998565726036392,310093947.0,0.18986078881866683,0.0004020394391030861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000734061392960347
2,Mangroves,96634.0,1869.0,94765.0,0.01934101868907424,313924349.0,0.9507963561802241,0.3801052505640707,0.5414078674948241,0.26950941833988823,0.16516609748525302,0.279828785446763,0.6966292134831461,0.8539325842696629,27.992727590954964,13.934603066804044,8.539679328191514,0.014914705411746838
3,"Mediterranean Forests, Woodlands & Scrub",598143.0,2381.0,595762.0,0.003980653455778969,310786024.0,0.5434484419976198,0.08233514057956429,0.04731650225714763,0.012739492426522218,0.009061423746948875,0.11885762284754305,0.16001679966400673,0.22763544729105417,11.886616803694691,3.2003520447195632,2.2763658900761197,0.0038655043956963286
4,Montane Grasslands & Shrublands,2571166.0,36436.0,2534730.0,0.014171002572373779,298043569.0,0.7568455311165516,0.04513883776391761,0.09754579751857181,0.03906408002613607,0.030974346209492992,0.06883302228565155,0.13783071687342188,0.2185750356789988,6.883478922566589,2.756620770240426,2.185755457406885,0.014131529393030693
6,Temperate Broadleaf & Mixed Forests,1507741.0,117685.0,1390056.0,0.0780538567300352,304433351.0,0.9635284050731718,0.9040677524408979,0.9706838230417192,0.9882207807712206,0.7102219215514611,0.12435739474019629,0.6330373454560904,0.9099120533627905,12.436077648270762,12.660755306290358,9.09912656856797,0.02911881184332164
7,"Temperate Grasslands, Savannas & Shrublands",7860915.0,6895.0,7854020.0,0.0008771243551164209,264070930.0,0.9139244232316285,0.7384365233670881,0.06861809716444682,0.014329148061926752,0.007417716269490428,0.7823060188542422,0.8168237853517041,0.8456852791878172,78.2307511633731,16.336506879945023,8.456858170932755,0.00031270741060325285
8,Tropical & Subtropical Coniferous Forests,0.0,0.0,0.0,0.0,314584751.0,,,,,,,,,,,,
9,Tropical & Subtropical Dry Broadleaf Forests,4147799.0,20948.0,4126851.0,0.005050389375184284,287913040.0,0.8525230716317264,0.10935015370140494,0.13913735323191168,0.04856091692423417,0.029984642424037863,0.2754916937177774,0.48076188657628416,0.593708229902616,27.549826933261887,9.615281776657513,5.937095181486625,0.004809855648002897
10,"Tropical & Subtropical Grasslands, Savannas & Shrublands",11868861.0,16752.0,11852109.0,0.0014114243986849285,238504560.0,0.48192919738220424,0.0016019215668098968,0.0032859261256403343,0.002146794216125222,0.0018476921962176653,0.02328080229226361,0.07605062082139447,0.13090974212034384,2.3280921944540154,1.5210125445794065,1.3090975315002504,0.0019257689004604653
11,Tropical & Subtropical Moist Broadleaf Forests,16852053.0,150459.0,16701594.0,0.008928229694031937,198487742.0,0.7007631259157577,0.05546017774553235,0.11517920721576073,0.04921184616224505,0.03379529493444418,0.1290052439535023,0.27559667417701833,0.37852172352601043,12.90056496785159,5.511937735555867,3.7852179091040408,0.008856820111478305
MEAN,— MEAN —,,,,,,0.7258852061539148,0.23299749605573078,0.20000472770236274,0.14378486312884722,0.09980581759132366,0.19249812905934813,0.37895363237672564,0.48580274765816817,19.251025824849265,7.579289858445835,4.858069904896256,0.008022248207344946
STD,— STD —,,,,,,0.25217504636236004,0.33136959683171485,0.3135308008580911,0.30720077127562256,0.2199282993802774,0.22664106637941586,0.2862779978197334,0.3355901634510379,22.66454156942391,5.725816837324812,3.355947267528788,0.009127281136460599
