model,biome,rank,feature,importance_score,method,n_samples
RF,Flooded Grasslands & Savannas,1,policy_b2,0.002135150363398153,permutation,1000
RF,Flooded Grasslands & Savannas,2,elevation_b2_smooth16,0.0009343713673652942,permutation,1000
RF,Flooded Grasslands & Savannas,3,GSN_b2_smooth16,0.0005936275114312827,permutation,1000
RF,Flooded Grasslands & Savannas,4,WorldClim_b11,0.000521002770137624,permutation,1000
RF,Flooded Grasslands & Savannas,5,elevation_b2_smooth64,0.0003787233781357813,permutation,1000
RF,Flooded Grasslands & Savannas,6,dist_oil_gas,0.00022487722428965462,permutation,1000
RF,Flooded Grasslands & Savannas,7,GSN_b2,0.00015082956259426794,permutation,1000
RF,Flooded Grasslands & Savannas,8,WorldClim_b6,0.00015082956259426794,permutation,1000
RF,Flooded Grasslands & Savannas,9,WorldClim_b4,7.541478129713397e-05,permutation,1000
RF,Flooded Grasslands & Savannas,10,WorldClim_b14,7.541478129713397e-05,permutation,1000
