model,biome,n_samples,n_positives,positive_rate,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct
LGBM,Deserts & Xeric Shrublands,1053035,109678,0.10415418290939997,0.9983808385997935,0.9730850013566558,0.9754985754985755,0.9695732274790603,0.9728877619820898
LGBM,Flooded Grasslands & Savannas,52337,1425,0.027227391711408755,0.8150276362653963,0.25181504100587865,0.5449330783938815,0.20412844036697247,0.12631377794763998
LGBM,Mangroves,757031,1457,0.0019246239585961472,0.9888197268847365,0.7036941111712542,0.1844121532364597,0.03751552138648913,0.018823560492979143
LGBM,"Mediterranean Forests, Woodlands & Scrub",57566,442,0.007678143348504325,0.976230521456696,0.7516815701334484,0.5895652173913043,0.13585823488533705,0.07105628908964559
LGBM,Montane Grasslands & Shrublands,7530283,5184,0.0006884203422368058,0.6288263230402209,0.046673441054712564,0.016852142041380042,0.003689105849981674,0.0021101472986396258
LGBM,Temperate Broadleaf & Mixed Forests,43739,889,0.02032511031345024,0.942238155178094,0.2376480591284456,0.36384439359267734,0.22781335773101555,0.16075920420763778
LGBM,Tropical & Subtropical Dry Broadleaf Forests,2582683,10328,0.003998942185316588,0.9872528390224018,0.5241811699784358,0.2748393092232634,0.07335790729010175,0.03983846237241935
LGBM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1128827,4184,0.003706502413567358,0.9570402469794838,0.5495765881505354,0.260099220411056,0.06064740171152177,0.03216633298488687
LGBM,Tropical & Subtropical Moist Broadleaf Forests,12320915,62359,0.0050612312478415765,0.7658780609664415,0.36865510946313323,0.2311113636179175,0.05229488105576703,0.027846157467264997
LGBM,Unknown,22169091,184118,0.008305166864983324,0.8370174360600882,0.5121366244822424,0.47395011051468267,0.1056724049892914,0.05615972509471521
LGBM,ALL,47695507,380064,0.007968549322685677,0.8749667908466215,0.633773521493616,0.532345818787936,0.11587088928724933,0.06023838726923924
RF,Deserts & Xeric Shrublands,1053035,109678,0.10415418290939997,0.9991061459093687,0.990192156922459,0.9995251661918328,0.9959924787753319,0.9806748145826805
RF,Flooded Grasslands & Savannas,52337,1425,0.027227391711408755,0.7874535490202565,0.32402636314310435,0.6443594646271511,0.22821100917431192,0.13376648194152493
RF,Mangroves,757031,1457,0.0019246239585961472,0.9927071489930488,0.9606961069912061,0.18745046235138704,0.03756836014900531,0.01884997952524999
RF,"Mediterranean Forests, Woodlands & Scrub",57566,442,0.007678143348504325,0.9881694613068467,0.7113974824650189,0.6260869565217392,0.14906184850590687,0.0753995830437804
RF,Montane Grasslands & Shrublands,7530283,5184,0.0006884203422368058,0.5898341901008031,0.06123848882838533,0.01802076970067196,0.0038139352055966045,0.001936182983899669
RF,Temperate Broadleaf & Mixed Forests,43739,889,0.02032511031345024,0.9808898070938332,0.4776207403157306,0.32494279176201374,0.37602927721866425,0.19140178367253602
RF,Tropical & Subtropical Dry Broadleaf Forests,2582683,10328,0.003998942185316588,0.9803815225483786,0.500303783914932,0.24757995818167738,0.06747254789598402,0.03816578128145957
RF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1128827,4184,0.003706502413567358,0.9324795527975908,0.5659508157398843,0.2887136782423813,0.05979695611346362,0.030483159405396785
RF,Tropical & Subtropical Moist Broadleaf Forests,12320915,62359,0.0050612312478415765,0.9091222386311831,0.3459321693491871,0.24665405936254656,0.05922294637567061,0.03521655462137131
RF,Unknown,22169091,184118,0.008305166864983324,0.9018711113579979,0.5363617105891703,0.495931255356579,0.11565116820364219,0.0626778095086447
RF,ALL,47695507,380064,0.007968549322685677,0.9268393685857136,0.633658827405334,0.5385791112369092,0.1213812623832437,0.06431759809625646
