model,biome,n_samples,n_positives,positive_rate,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct
LGBM,Deserts & Xeric Shrublands,1053035,109678,0.10415418290939997,0.9983808385997935,0.9730850013566558,0.9753086419753086,0.9698011433780935,0.9730776900942993,0.09363773956490819,0.4655537117744671,0.9342621127299914
LGBM,Flooded Grasslands & Savannas,52337,1425,0.027227391711408755,0.8150276362653963,0.25181504100587865,0.5430210325047801,0.20489296636085627,0.1261226829734378,0.19929824561403509,0.376140350877193,0.4631578947368421
LGBM,Mangroves,757031,1457,0.0019246239585961472,0.9888197268847365,0.7036941111712542,0.18428005284015853,0.03751552138648913,0.018823560492979143,0.9574468085106383,0.9746053534660261,0.9780370624571036
LGBM,"Mediterranean Forests, Woodlands & Scrub",57566,442,0.007678143348504325,0.976230521456696,0.7516815701334484,0.5878260869565217,0.13551077136900624,0.07105628908964559,0.7647058823529411,0.8823529411764706,0.9253393665158371
LGBM,Montane Grasslands & Shrublands,7530283,5184,0.0006884203422368058,0.6288263230402209,0.046673441054712564,0.016852142041380042,0.003689105849981674,0.0021101472986396258,0.24479166666666666,0.2679398148148148,0.3065200617283951
LGBM,Temperate Broadleaf & Mixed Forests,43739,889,0.02032511031345024,0.942238155178094,0.2376480591284456,0.36613272311212813,0.22872827081427263,0.1605305282414818,0.17997750281214847,0.562429696287964,0.7896512935883014
LGBM,Tropical & Subtropical Dry Broadleaf Forests,2582683,10328,0.003998942185316588,0.9872528390224018,0.5241811699784358,0.2744133818632386,0.07342760233555841,0.039788127061811764,0.6861928737412858,0.9180867544539117,0.9949651432997676
LGBM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1128827,4184,0.003706502413567358,0.9570402469794838,0.5495765881505354,0.25992204110559886,0.06064740171152177,0.03213975655994756,0.7012428298279159,0.8181166347992351,0.8671128107074569
LGBM,Tropical & Subtropical Moist Broadleaf Forests,12320915,62359,0.0050612312478415765,0.7658780609664415,0.36865510946313323,0.23101396813544464,0.05229325779772582,0.027849403980712464,0.4564377235042255,0.5166054619220962,0.5502493625619397
LGBM,Unknown,22169091,184118,0.008305166864983324,0.8370174360600882,0.5121366244822424,0.47397717533492717,0.10564534026671382,0.05614574166102443,0.5706992254966924,0.6360214644955953,0.6760338478584386
LGBM,ALL,47695507,380064,0.007968549322685677,0.8749667908466215,0.633773521493616,0.5323604952249164,0.11586795399985324,0.06024404818064597,0.668076955460133,0.7270328155258062,0.7560226698661278
RF,Deserts & Xeric Shrublands,1053035,109678,0.10415418290939997,0.9991061459093687,0.990192156922459,0.9995251661918328,0.9959924787753319,0.9806748145826805,0.09596272725614982,0.4781268805047503,0.9415561917613378
RF,Flooded Grasslands & Savannas,52337,1425,0.027227391711408755,0.7874535490202565,0.32402636314310435,0.6443594646271511,0.22821100917431192,0.13376648194152493,0.23649122807017545,0.4189473684210526,0.49122807017543857
RF,Mangroves,757031,1457,0.0019246239585961472,0.9927071489930488,0.9606961069912061,0.18745046235138704,0.03756836014900531,0.01884997952524999,0.9739190116678106,0.9759780370624571,0.9794097460535347
RF,"Mediterranean Forests, Woodlands & Scrub",57566,442,0.007678143348504325,0.9881694613068467,0.7113974824650189,0.6260869565217392,0.14906184850590687,0.0753995830437804,0.8144796380090498,0.9705882352941176,0.9819004524886877
RF,Montane Grasslands & Shrublands,7530283,5184,0.0006884203422368058,0.5898341901008031,0.06123848882838533,0.01802076970067196,0.0038139352055966045,0.001936182983899669,0.26176697530864196,0.2770061728395062,0.28125
RF,Temperate Broadleaf & Mixed Forests,43739,889,0.02032511031345024,0.9808898070938332,0.4776207403157306,0.32494279176201374,0.37602927721866425,0.19140178367253602,0.1597300337457818,0.9246344206974129,0.9415073115860517
RF,Tropical & Subtropical Dry Broadleaf Forests,2582683,10328,0.003998942185316588,0.9803815225483786,0.500303783914932,0.24757995818167738,0.06747254789598402,0.03816578128145957,0.6190937257939582,0.8436289697908598,0.9543958171959721
RF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",1128827,4184,0.003706502413567358,0.9324795527975908,0.5659508157398843,0.2887136782423813,0.05979695611346362,0.030483159405396785,0.7789196940726577,0.8066443594646272,0.8224187380497132
RF,Tropical & Subtropical Moist Broadleaf Forests,12320915,62359,0.0050612312478415765,0.9091222386311831,0.3459321693491871,0.24665405936254656,0.05922294637567061,0.03521655462137131,0.48733943777161276,0.5850639041678025,0.6958097467887554
RF,Unknown,22169091,184118,0.008305166864983324,0.9018711113579979,0.5363617105891703,0.495931255356579,0.11565116820364219,0.0626778095086447,0.5971333601277442,0.6962600071693154,0.7546844958124681
RF,ALL,47695507,380064,0.007968549322685677,0.9268393685857136,0.633658827405334,0.5385791112369092,0.1213812623832437,0.06431759809625646,0.6758809042687547,0.7616269891386713,0.8071430074934748
