category,num_files,total_size_gb,avg_coverage_pct,data_types,crs_set,resolutions,bands_min,bands_max,years_covered_count,years_min,years_max,years_list
DynamicWorld,8,6.214,25.53,float32,EPSG:3857,1000.00x0.00,9,9,8,2017,2024,"2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
GPW,5,0.162,25.53,float32,EPSG:3857,1000.00x0.00,1,1,5,2000,2020,"2000, 2005, 2010, 2015, 2020"
GSN,5,0.002,100.0,uint8,EPSG:3857,1000.00x0.00,1,1,0,,,
NDVI,25,1.187,25.53,float32,EPSG:3857,1000.00x0.00,1,1,25,2000,2024,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
VIIRS,10,0.872,25.53,float32,EPSG:3857,1000.00x0.00,1,1,10,2013,2022,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022"
WDPA,12,0.031,25.53,float32,EPSG:3857,1000.00x0.00,1,1,12,2013,2024,"2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
WorldClim,4,1.236,11.62,float32,EPSG:3857,1000.00x0.00,19,19,0,,,
assetlevel,2,0.002,100.0,"float32, int16",EPSG:3857,1000.00x0.00,1,1,0,,,
deforestation,25,0.47,25.53,float32,EPSG:3857,1000.00x0.00,3,3,25,2000,2024,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
elevation,2,0.124,25.53,float32,EPSG:3857,1000.00x0.00,1,1,0,,,
embeddings,8,24.902,25.09,float32,EPSG:3857,1000.00x0.00,64,448,7,2018,2024,"2018, 2019, 2020, 2021, 2022, 2023, 2024"
gdp,11,0.272,100.0,float32,EPSG:3857,1000.00x0.00,1,1,10,2012,2021,"2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021"
landcover,24,0.088,100.0,int16,EPSG:3857,1000.00x0.00,1,1,24,2001,2024,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
oil_gas,1,0.002,25.53,float32,EPSG:3857,1000.00x0.00,1,1,0,,,
powerplants,2,0.005,25.53,float32,EPSG:3857,1000.00x0.00,1,2,0,,,
road_infrastructure,1,0.003,100.0,uint8,EPSG:3857,1000.00x0.00,1,1,0,,,
wildfire,25,0.114,25.53,float32,EPSG:3857,1000.00x0.00,2,2,25,2000,2024,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024"
