rank,cluster_id,n_pixels,area_km2,mean_score,centroid_lon,centroid_lat,dominant_country,dominant_landcover,agri_frac,mean_dist_wdpa_km,biodiversity_frac,climate_stab_frac,lon_min,lon_max,lat_min,lat_max,label
1,17,38664,24934.0,0.00224,-113.82,36.56,Unknown,Shrubland,0.002,5.9,,,-124.18,-102.85,29.3,44.09,C1. Unknown (Shrubland)
2,18,12053,7165.0,0.00049,-100.46,39.55,PER,Savanna / Grassland,0.499,9.6,,,-107.24,-93.35,33.08,45.81,C2. PER (Savanna / Grassland)
3,20,11149,6899.0,0.00035,-78.36,38.12,BRA,Forest,0.015,7.3,,,-86.16,-72.49,33.23,44.32,C3. BRA (Forest)
4,16,7729,4736.0,0.00083,-121.96,38.47,Unknown,Savanna / Grassland,0.027,4.7,,,-127.39,-115.98,32.86,45.76,C4. Unknown (Savanna / Grassland)
5,6,5204,2576.0,0.00026,-97.66,45.29,Unknown,Agriculture,0.787,2.3,,,-102.72,-92.23,40.3,49.85,C5. Unknown (Agriculture)
6,14,3748,2002.0,0.00815,-90.4,43.05,COL,Agriculture,0.51,2.4,,,-96.93,-83.99,38.31,48.29,C6. COL (Agriculture)
7,21,2645,1595.0,0.00247,-81.38,39.05,BRA,Forest,0.002,8.0,,,-84.85,-77.74,35.12,42.61,C7. BRA (Forest)
8,9,2706,1394.0,0.00179,-123.73,44.14,Unknown,Forest,0.027,8.3,,,-127.57,-119.02,39.68,49.17,C8. Unknown (Forest)
9,8,2652,1311.0,0.00018,-68.13,45.32,SUR,Forest,0.0,8.7,,,-73.62,-64.01,40.98,49.46,C9. SUR (Forest)
10,19,2214,1228.0,0.00085,-84.76,41.86,COL,Agriculture,0.562,3.4,,,-90.68,-79.65,37.69,46.28,C10. COL (Agriculture)
11,35,1709,1169.0,0.00023,-85.85,34.21,BRA,Forest,0.002,7.6,,,-90.87,-80.81,30.22,38.7,C11. BRA (Forest)
12,36,1511,1098.0,0.00023,-82.83,31.52,BRA,Savanna / Grassland,0.001,14.9,,,-87.25,-77.88,27.31,36.48,C12. BRA (Savanna / Grassland)
13,4,2056,978.0,0.00052,-109.13,46.4,Unknown,Savanna / Grassland,0.0,10.5,,,-113.59,-105.68,42.84,49.65,C13. Unknown (Savanna / Grassland)
14,5,1950,862.0,0.00034,-99.17,48.33,Unknown,Agriculture,0.817,2.0,,,-104.1,-94.28,44.05,52.0,C14. Unknown (Agriculture)
15,2,1595,705.0,0.00298,-107.61,48.33,Unknown,Savanna / Grassland,0.068,4.2,,,-111.89,-103.56,44.98,51.79,C15. Unknown (Savanna / Grassland)
16,23,966,539.0,0.00017,-70.71,41.68,BRA,Forest,0.0,2.0,,,-74.91,-66.96,38.07,44.95,C16. BRA (Forest)
17,15,995,533.0,0.00697,-78.1,42.93,VEN,Urban,0.078,5.5,,,-82.06,-73.42,39.39,46.52,C17. VEN (Urban)
18,27,847,521.0,0.00067,-96.58,38.34,ECU,Savanna / Grassland,0.05,4.3,,,-100.64,-92.33,34.9,42.33,C18. ECU (Savanna / Grassland)
19,10,976,512.0,0.00052,-121.41,43.59,Unknown,Savanna / Grassland,0.01,6.9,,,-125.13,-117.8,39.71,47.38,C19. Unknown (Savanna / Grassland)
20,1,960,441.0,0.00109,-112.41,47.31,Unknown,Savanna / Grassland,0.007,5.0,,,-115.68,-108.57,43.51,50.61,C20. Unknown (Savanna / Grassland)
21,34,631,437.0,0.00016,-95.27,33.63,PER,Savanna / Grassland,0.0,9.2,,,-99.13,-91.73,30.28,37.2,C21. PER (Savanna / Grassland)
22,12,808,426.0,0.00069,-113.93,43.42,Unknown,Savanna / Grassland,0.002,2.6,,,-117.57,-110.49,40.23,46.58,C22. Unknown (Savanna / Grassland)
23,37,574,417.0,0.00064,-110.15,31.49,Unknown,Shrubland,0.0,3.6,,,-114.35,-106.72,28.34,35.23,C23. Unknown (Shrubland)
24,24,543,356.0,0.00021,-107.83,35.88,Unknown,Shrubland,0.0,6.9,,,-111.22,-103.4,32.51,39.91,C24. Unknown (Shrubland)
25,0,758,352.0,0.00067,-122.25,47.04,Unknown,Forest,0.0,6.8,,,-126.25,-118.34,42.79,51.28,C25. Unknown (Forest)
26,38,464,346.0,0.00017,-91.43,30.22,PER,Forest,0.002,14.6,,,-95.45,-87.47,26.82,33.57,C26. PER (Forest)
27,29,545,343.0,0.00016,-88.78,37.47,PER,Agriculture,0.387,3.8,,,-93.02,-84.68,33.42,41.26,C27. PER (Agriculture)
