biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
19,595836,336690.0,0.0,209546.0
22,436165,273584.0,0.0,188227.0
74,352370,198883.0,14.0,143577.0
20,382827,222747.0,22.0,134823.0
54,1001513,480220.0,0.0,113283.0
16,268114,127511.0,0.0,103465.0
72,699938,499648.0,0.0,73187.0
83,759542,483905.0,0.0,66555.0
4,237611,149237.0,0.0,54492.0
81,387349,184018.0,1.0,47909.0
39,190216,121084.0,0.0,46470.0
2,245406,163919.0,0.0,37964.0
78,258531,130656.0,51.0,37385.0
3,280923,173128.0,4.0,36368.0
48,289530,147107.0,0.0,34712.0
26,126228,87515.0,0.0,30033.0
24,385084,245271.0,36.0,27862.0
50,124939,70832.0,0.0,23828.0
57,161071,102224.0,0.0,23390.0
45,106258,70153.0,21.0,21733.0
47,105712,58246.0,0.0,21013.0
44,148475,103461.0,0.0,20072.0
55,94324,42868.0,0.0,20062.0
42,106602,70284.0,0.0,18774.0
14,103744,65308.0,2.0,16255.0
34,44531,27476.0,1.0,15042.0
31,74469,39170.0,15.0,14924.0
77,59807,43355.0,0.0,13799.0
1,127659,70472.0,0.0,13162.0
58,98234,65806.0,0.0,12565.0
60,209028,149392.0,0.0,11870.0
27,75713,55659.0,0.0,11142.0
82,92732,71273.0,0.0,10514.0
13,27533,19058.0,7.0,7459.0
30,93154,49596.0,0.0,6476.0
25,204800,124197.0,1.0,5735.0
21,92700,48104.0,0.0,5385.0
40,71721,40280.0,0.0,5315.0
18,75865,37171.0,3.0,4880.0
69,139288,97516.0,37.0,4478.0
23,257957,186519.0,0.0,4157.0
15,15225,10419.0,16.0,3708.0
85,236089,128496.0,5.0,3452.0
51,18833,11138.0,9.0,3381.0
46,168922,81423.0,0.0,3376.0
32,100129,74148.0,0.0,3166.0
36,463348,275275.0,0.0,3008.0
10,127085,64021.0,0.0,2833.0
6,19566,11380.0,0.0,2817.0
71,241055,121563.0,0.0,2811.0
0,20021,12449.0,9.0,2463.0
61,34028,15499.0,0.0,2182.0
12,69300,43804.0,0.0,1973.0
84,29001,14559.0,1.0,1956.0
5,145983,99677.0,0.0,1893.0
53,193148,86806.0,0.0,1432.0
59,168865,79563.0,0.0,855.0
68,300987,162432.0,0.0,683.0
49,37078,16465.0,0.0,604.0
66,56530,34667.0,0.0,584.0
65,4441,3231.0,0.0,464.0
63,5235,3424.0,0.0,411.0
80,70541,41708.0,4.0,278.0
33,21011,16893.0,0.0,80.0
76,69231,53692.0,0.0,61.0
35,7594,4539.0,0.0,22.0
64,692,495.0,0.0,6.0
11,131,59.0,0.0,1.0
8,639,509.0,0.0,1.0
73,32,25.0,0.0,0.0
28,2,1.0,0.0,0.0
