biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
72,699938,499648.0,6.0,134086.0
81,387349,184018.0,0.0,122118.0
48,289530,147107.0,0.0,110572.0
74,352370,198883.0,0.0,103773.0
3,280923,173128.0,0.0,76572.0
2,245406,163919.0,0.0,76503.0
19,595836,336690.0,0.0,73888.0
71,241055,121563.0,1.0,68262.0
4,237611,149237.0,0.0,66106.0
25,204800,124197.0,0.0,62397.0
20,382827,222747.0,22.0,57018.0
36,463348,275275.0,4.0,49127.0
50,124939,70832.0,0.0,46003.0
57,161071,102224.0,0.0,45852.0
39,190216,121084.0,0.0,42373.0
78,258531,130656.0,135.0,38386.0
60,209028,149392.0,0.0,31843.0
24,385084,245271.0,18.0,29857.0
58,98234,65806.0,0.0,27579.0
31,74469,39170.0,1.0,26397.0
1,127659,70472.0,0.0,25630.0
14,103744,65308.0,2.0,24908.0
44,148475,103461.0,0.0,24032.0
53,193148,86806.0,0.0,23186.0
46,168922,81423.0,0.0,19855.0
68,300987,162432.0,0.0,19519.0
42,106602,70284.0,2.0,19267.0
80,70541,41708.0,3.0,17367.0
40,71721,40280.0,1.0,17066.0
21,92700,48104.0,0.0,14910.0
18,75865,37171.0,0.0,14771.0
16,268114,127511.0,0.0,14396.0
83,759542,483905.0,1.0,12723.0
55,94324,42868.0,0.0,12446.0
45,106258,70153.0,1.0,12284.0
22,436165,273584.0,0.0,11859.0
66,56530,34667.0,0.0,10608.0
10,127085,64021.0,0.0,9935.0
85,236089,128496.0,0.0,9385.0
61,34028,15499.0,0.0,8847.0
30,93154,49596.0,0.0,8807.0
54,1001513,480220.0,9.0,8678.0
49,37078,16465.0,0.0,8250.0
26,126228,87515.0,0.0,7794.0
23,257957,186519.0,0.0,7708.0
13,27533,19058.0,9.0,7542.0
27,75713,55659.0,0.0,7384.0
12,69300,43804.0,0.0,7045.0
84,29001,14559.0,0.0,6824.0
0,20021,12449.0,4.0,6740.0
34,44531,27476.0,0.0,6524.0
51,18833,11138.0,1.0,6341.0
15,15225,10419.0,1.0,5844.0
6,19566,11380.0,0.0,4860.0
82,92732,71273.0,0.0,4242.0
35,7594,4539.0,0.0,4066.0
69,139288,97516.0,38.0,3883.0
77,59807,43355.0,0.0,3564.0
59,168865,79563.0,0.0,3487.0
5,145983,99677.0,0.0,2743.0
47,105712,58246.0,0.0,2087.0
32,100129,74148.0,0.0,2049.0
63,5235,3424.0,0.0,944.0
33,21011,16893.0,0.0,349.0
65,4441,3231.0,0.0,297.0
64,692,495.0,0.0,172.0
8,639,509.0,0.0,127.0
76,69231,53692.0,0.0,85.0
11,131,59.0,0.0,31.0
28,2,1.0,0.0,1.0
73,32,25.0,0.0,0.0
