biome_id,n_pixels,area_km2,bau_new_km2,30x30_new_km2
72,699938,499648.0,6.0,204935.0
81,387349,184018.0,0.0,132095.0
2,245406,163919.0,0.0,113551.0
48,289530,147107.0,0.0,94153.0
4,237611,149237.0,0.0,82501.0
71,241055,121563.0,2.0,73832.0
25,204800,124197.0,0.0,70111.0
60,209028,149392.0,0.0,65855.0
3,280923,173128.0,0.0,59199.0
74,352370,198883.0,0.0,54430.0
39,190216,121084.0,0.0,48686.0
19,595836,336690.0,0.0,47927.0
78,258531,130656.0,128.0,42419.0
58,98234,65806.0,0.0,37608.0
57,161071,102224.0,0.0,36620.0
50,124939,70832.0,0.0,35768.0
20,382827,222747.0,17.0,30960.0
14,103744,65308.0,4.0,29814.0
53,193148,86806.0,0.0,27698.0
24,385084,245271.0,26.0,23975.0
36,463348,275275.0,5.0,23407.0
1,127659,70472.0,0.0,22871.0
31,74469,39170.0,0.0,22043.0
46,168922,81423.0,1.0,21040.0
18,75865,37171.0,0.0,18504.0
44,148475,103461.0,0.0,18278.0
21,92700,48104.0,0.0,18065.0
80,70541,41708.0,4.0,17808.0
83,759542,483905.0,1.0,14606.0
40,71721,40280.0,1.0,14592.0
42,106602,70284.0,1.0,14156.0
22,436165,273584.0,0.0,12201.0
61,34028,15499.0,0.0,11849.0
66,56530,34667.0,0.0,11577.0
49,37078,16465.0,0.0,11427.0
54,1001513,480220.0,6.0,11307.0
45,106258,70153.0,1.0,10944.0
26,126228,87515.0,0.0,10713.0
12,69300,43804.0,0.0,9808.0
68,300987,162432.0,1.0,9617.0
16,268114,127511.0,0.0,8544.0
27,75713,55659.0,0.0,7884.0
30,93154,49596.0,0.0,7771.0
34,44531,27476.0,0.0,7625.0
84,29001,14559.0,0.0,7295.0
51,18833,11138.0,2.0,7034.0
85,236089,128496.0,1.0,6983.0
10,127085,64021.0,0.0,6544.0
77,59807,43355.0,0.0,6486.0
0,20021,12449.0,5.0,6023.0
15,15225,10419.0,5.0,5753.0
5,145983,99677.0,0.0,5554.0
13,27533,19058.0,7.0,5447.0
32,100129,74148.0,0.0,5078.0
55,94324,42868.0,0.0,4826.0
82,92732,71273.0,0.0,4259.0
59,168865,79563.0,0.0,3872.0
69,139288,97516.0,33.0,3713.0
6,19566,11380.0,0.0,3560.0
23,257957,186519.0,0.0,3381.0
35,7594,4539.0,0.0,2051.0
47,105712,58246.0,0.0,1340.0
76,69231,53692.0,0.0,1247.0
63,5235,3424.0,0.0,1001.0
33,21011,16893.0,0.0,719.0
65,4441,3231.0,0.0,437.0
64,692,495.0,0.0,224.0
8,639,509.0,0.0,116.0
11,131,59.0,0.0,18.0
28,2,1.0,0.0,1.0
73,32,25.0,0.0,0.0
