feature,mean_abs_shap,mean_shap,pct_shap_positive
slope_smooth16,0.06879924122046124,-0.03281392177111281,32.4
slope_smooth4,0.05890141713275595,-0.027038203244973733,27.400000000000002
dist_wdpa,0.057110805348477456,-0.01634921193146632,29.799999999999997
policy_b4,0.04314915561386369,-0.0005154085769590967,61.199999999999996
GPW,0.04055970414508079,-0.015372179344059574,41.4
slope_smooth64,0.03447762194034456,-0.021202143328640448,23.200000000000003
policy_b1,0.03314846741757679,-2.4170408603745447e-05,50.8
GPW_smooth16,0.02458448526953418,-0.01200071463086032,20.8
slope,0.021123417719396576,-0.008688647262027034,27.800000000000004
GSN_b5_smooth64,0.018107740537997272,-0.013693425279263139,24.4
GSN_b4_smooth64,0.017117986093097753,-0.011649911864749448,21.4
WorldClim_b2,0.016063753182228312,-0.010500940838920336,18.6
WorldClim_b8,0.01583228305973476,-0.012191156005413845,15.8
policy_b3,0.015793556095466343,-0.0011686558322535328,56.8
WorldClim_b4,0.015544042916636094,-0.01136658653203829,16.6
elevation,0.01541684443739988,-0.00574218738074343,24.6
GPW_smooth64,0.01525822431237999,-0.011380152527675972,14.2
WorldClim_b10,0.014664796364562496,-0.007785782737155917,17.2
WorldClim_b18,0.01454207704782285,-0.011244657856082725,17.2
landcover,0.01421714121808802,-0.0034064404159552856,40.6
