fold_idx,biome_name,n_test,n_test_pos,n_test_neg,positive_rate,n_train,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct,lift_at_1pct,lift_at_5pct,lift_at_10pct,brier_score
0,Boreal Forests/Taiga,0.0,0.0,0.0,0.0,30346098.0,,,,,,,,,,,,
1,Deserts & Xeric Shrublands,5895851.0,12625.0,5883226.0,0.002141336339741286,30221529.0,0.5566658695534232,0.0025712302922313544,0.0018148512500424032,0.002642541181578876,0.0028206280688959184,0.008475247524752476,0.0617029702970297,0.13172277227722773,0.8475320837555447,1.2340617083527126,1.3172279461883618,0.0027047328365246343
2,Flooded Grasslands & Savannas,63141.0,0.0,63141.0,0.0,30346054.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007219872087958529
3,Mangroves,3726.0,0.0,3726.0,0.0,30346098.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014292888274791384
4,"Mediterranean Forests, Woodlands & Scrub",455758.0,216.0,455542.0,0.0004739357290491884,30329017.0,0.5308001695416303,0.0004722542721118799,0.0,4.388467108439022e-05,0.00024136039495337356,0.0,0.004629629629629629,0.05092592592592592,0.0,0.09259624964851629,0.5092681985331464,0.0025139412636650147
5,Temperate Broadleaf & Mixed Forests,9181073.0,564.0,9180509.0,6.143072819484172e-05,30287936.0,0.7353153766867,0.00012373038540955682,6.535235813092256e-05,0.00012199027127586575,0.00014050649869786419,0.010638297872340425,0.09929078014184398,0.22872340425531915,1.0638382459612474,1.9858184146693731,2.2872347899281844,0.0016397932392239016
6,Temperate Conifer Forests,5103496.0,737.0,5102759.0,0.0001444108117259228,30265248.0,0.7168192712586134,0.001936086951101337,0.00047027471881490773,0.0001881069387947048,0.00020966044804633692,0.032564450474898234,0.06512890094979647,0.1451831750339213,3.256506304440985,1.3025821027286577,1.4518334572085323,0.0013077584119191611
7,"Temperate Grasslands, Savannas & Shrublands",15657831.0,363.0,15657468.0,2.3183287646928874e-05,30284254.0,0.5696020494666799,0.011605869700927274,0.0003704224092784427,8.174828935317943e-05,4.4067409085422435e-05,0.15977961432506887,0.1763085399449036,0.19008264462809918,15.977993066376552,3.526173276118961,1.900826567678813,0.0007508947545662363
8,Tropical & Subtropical Coniferous Forests,15576.0,0.0,15576.0,0.0,30345941.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001439061936149811
9,Tropical & Subtropical Dry Broadleaf Forests,0.0,0.0,0.0,0.0,30346098.0,,,,,,,,,,,,
10,"Tropical & Subtropical Grasslands, Savannas & Shrublands",279543.0,0.0,279543.0,0.0,30344413.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008120171042964962
MEAN,— MEAN —,,,,,,0.6218405473014094,0.0033418343203562807,0.0005441801472533352,0.0006156542704174033,0.0006912445639357831,0.042291522039412,0.08141216419264066,0.14932758442409866,4.229173940106866,1.6282463503036442,1.4932781919074076,0.0017834241011797896
STD,— STD —,,,,,,0.09638781635505825,0.004729030545340679,0.0007375071015967447,0.0011343222080609843,0.0011927639984125671,0.06676845738965362,0.06299627298290018,0.06703481012506551,6.676855493198329,1.2599250337510381,0.6703450194204187,0.000820894273730237
