model,biome,n_samples,n_positives,positive_rate,neg_pos_ratio,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct
LGBM,Deserts & Xeric Shrublands,5895851,12625,0.002141336339741286,465.998099009901,0.9778207299569627,0.381711660063738,0.18650564808846976,0.038308366577112,0.01918468075001908,0.870970297029703,0.8944950495049505,0.8959207920792079
LGBM,Flooded Grasslands & Savannas,63141,0,0.0,,,,,,,,,
LGBM,Mangroves,3726,0,0.0,,,,,,,,,
LGBM,"Mediterranean Forests, Woodlands & Scrub",455758,216,0.0004739357290491884,2108.990740740741,0.9788057921073098,0.17594410225006232,0.03928022822032039,0.0080747794795278,0.004476138233680746,0.8287037037037037,0.8518518518518519,0.9444444444444444
LGBM,Temperate Broadleaf & Mixed Forests,9181073,564,6.143072819484172e-05,16277.498226950354,0.9328574950945122,0.09091749551369799,0.005141052172965908,0.001087020452976018,0.0005467772274909134,0.8368794326241135,0.8847517730496454,0.8900709219858156
LGBM,Temperate Conifer Forests,5103496,737,0.0001444108117259228,6923.689280868385,0.9942316171366834,0.12156196668683797,0.012952149547360584,0.0028059285036876797,0.0014068803896941113,0.8968792401628223,0.9715061058344641,0.9742198100407056
LGBM,"Temperate Grasslands, Savannas & Shrublands",15657831,363,2.3183287646928874e-05,43133.520661157025,0.9808517377758457,0.02348577421222729,0.0018201790800751064,0.0004189599829350446,0.00021522778060561394,0.7851239669421488,0.9035812672176309,0.928374655647383
LGBM,Tropical & Subtropical Coniferous Forests,15576,0,0.0,,,,,,,,,
LGBM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",279543,0,0.0,,,,,,,,,
LGBM,Unknown,110838,282,0.0025442537757808695,392.0425531914894,0.9917806970005123,0.12497906214441584,0.16606498194945848,0.05089334055224689,0.025444374266895244,0.6524822695035462,1.0,1.0
LGBM,ALL,36766833,14787,0.00040218313064930016,2485.429498884155,0.9442790649755765,0.0818841459397942,0.03242055332528259,0.0072146571283564906,0.0036318061687667935,0.8061134780550484,0.8969364982755123,0.9030229255427065
RF,Deserts & Xeric Shrublands,5895851,12625,0.002141336339741286,465.998099009901,0.9992721317949516,0.6994774580284139,0.2140337189185522,0.042826806697603734,0.021413367029351153,0.9995247524752475,1.0,1.0
RF,Flooded Grasslands & Savannas,63141,0,0.0,,,,,,,,,
RF,Mangroves,3726,0,0.0,,,,,,,,,
RF,"Mediterranean Forests, Woodlands & Scrub",455758,216,0.0004739357290491884,2108.990740740741,0.9999057797166973,0.8385922918762726,0.04739960500329164,0.009479088954228288,0.00473944048272079,1.0,1.0,1.0
RF,Temperate Broadleaf & Mixed Forests,9181073,564,6.143072819484172e-05,16277.498226950354,0.9714316757405583,0.37253304750196725,0.005446029844243546,0.001095734043781437,0.0005631151924557813,0.8865248226950354,0.8918439716312057,0.9166666666666666
RF,Temperate Conifer Forests,5103496,737,0.0001444108117259228,6923.689280868385,0.9999607813197643,0.6989633299605578,0.01444135282360779,0.002888225289410363,0.0014441098150481336,1.0,1.0,1.0
RF,"Temperate Grasslands, Savannas & Shrublands",15657831,363,2.3183287646928874e-05,43133.520661157025,0.9999695390869487,0.5440641662814933,0.0023183333546219777,0.0004636660786750646,0.00023183289127548325,1.0,1.0,1.0
RF,Tropical & Subtropical Coniferous Forests,15576,0,0.0,,,,,,,,,
RF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",279543,0,0.0,,,,,,,,,
RF,Unknown,110838,282,0.0025442537757808695,392.0425531914894,0.9959617397453852,0.34259011133845507,0.20667870036101083,0.05089334055224689,0.025444374266895244,0.8120567375886525,1.0,1.0
RF,ALL,36766833,14787,0.00040218313064930016,2485.429498884155,0.9989178282868278,0.5586129782870942,0.040038839387708476,0.008013747177482307,0.004013944090366235,0.9955366200040576,0.996280516670048,0.9980388178805708
