model,biome,n_samples,n_positives,positive_rate,neg_pos_ratio,mean_pred_prob,roc_auc,pr_auc,precision_at_1pct,precision_at_5pct,precision_at_10pct,recall_at_1pct,recall_at_5pct,recall_at_10pct
LGBM,Deserts & Xeric Shrublands,5895851,12625,0.002141336339741286,465.998099009901,0.001157779130153358,0.7984941894595292,0.05142024768936007,0.0714067641371824,0.026377920703411217,0.013188937981800758,0.3334653465346535,0.6159207920792079,0.6159207920792079
LGBM,Flooded Grasslands & Savannas,63141,0,0.0,,0.0006525859935209155,,,,,,,,
LGBM,Mangroves,3726,0,0.0,,0.0008599034626968205,,,,,,,,
LGBM,"Mediterranean Forests, Woodlands & Scrub",455758,216,0.0004739357290491884,2108.990740740741,0.002169212559238076,0.6920342914268831,0.0020594708800355825,0.0,0.0030719269759073155,0.0019528250137136587,0.0,0.32407407407407407,0.41203703703703703
LGBM,Temperate Broadleaf & Mixed Forests,9181073,564,6.143072819484172e-05,16277.498226950354,0.0011471600737422705,0.9378265713119822,0.0022645080643534416,0.0032567258468576407,0.0010826636575733085,0.0005587584017984832,0.5301418439716312,0.8812056737588653,0.9095744680851063
LGBM,Temperate Conifer Forests,5103496,737,0.0001444108117259228,6923.689280868385,0.001361834118142724,0.9517681401399147,0.0028093560844141144,0.00023513735940745387,0.0027353884016396656,0.0013676915209004034,0.016282225237449117,0.9470827679782904,0.9470827679782904
LGBM,"Temperate Grasslands, Savannas & Shrublands",15657831,363,2.3183287646928874e-05,43133.520661157025,0.000816734042018652,0.8029240608542964,0.0006724887926903361,0.0007663911916105711,0.0002925055978418452,0.00014625270551538752,0.3305785123966942,0.6308539944903582,0.6308539944903582
LGBM,Tropical & Subtropical Coniferous Forests,15576,0,0.0,,0.0013458635658025742,,,,,,,,
LGBM,"Tropical & Subtropical Grasslands, Savannas & Shrublands",279543,0,0.0,,0.0008124785963445902,,,,,,,,
LGBM,Unknown,110838,282,0.0025442537757808695,392.0425531914894,0.0015106929931789637,0.9840104299377563,0.10561364398458559,0.0009025270758122744,0.050351922035733625,0.0251736894342687,0.0035460992907801418,0.9893617021276596,0.9893617021276596
LGBM,ALL,36766833,14787,0.00040218313064930016,2485.429498884155,0.0010483694495633245,0.8127437927635821,0.014652414916305163,0.022112340481086196,0.005221555739658747,0.002610777159738819,0.5498072631365388,0.6491512815310746,0.6491512815310746
RF,Deserts & Xeric Shrublands,5895851,12625,0.002141336339741286,465.998099009901,0.0010923589579761028,0.9992090374017976,0.6322032452519296,0.21413548627836765,0.042826806697603734,0.021413367029351153,1.0,1.0,1.0
RF,Flooded Grasslands & Savannas,63141,0,0.0,,0.0009988227393478155,,,,,,,,
RF,Mangroves,3726,0,0.0,,0.0010140190133824944,,,,,,,,
RF,"Mediterranean Forests, Woodlands & Scrub",455758,216,0.0004739357290491884,2108.990740740741,0.001384030212648213,0.9999114912687647,0.814344727201956,0.04739960500329164,0.009479088954228288,0.00473944048272079,1.0,1.0,1.0
RF,Temperate Broadleaf & Mixed Forests,9181073,564,6.143072819484172e-05,16277.498226950354,0.0014973555225878954,0.9606880621443994,0.3573311804928078,0.005446029844243546,0.0011000908391841464,0.000554401611141185,0.8865248226950354,0.8953900709219859,0.9024822695035462
RF,Temperate Conifer Forests,5103496,737,0.0001444108117259228,6923.689280868385,0.0013732725055888295,0.9999532988696317,0.6533199376237662,0.01444135282360779,0.002888225289410363,0.0014441098150481336,1.0,1.0,1.0
RF,"Temperate Grasslands, Savannas & Shrublands",15657831,363,2.3183287646928874e-05,43133.520661157025,0.0012212703004479408,0.9999786633997919,0.5809969483683926,0.0023183333546219777,0.0004636660786750646,0.00023183289127548325,1.0,1.0,1.0
RF,Tropical & Subtropical Coniferous Forests,15576,0,0.0,,0.001275471062399447,,,,,,,,
RF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",279543,0,0.0,,0.0011941896518692374,,,,,,,,
RF,Unknown,110838,282,0.0025442537757808695,392.0425531914894,0.0011661049211397767,0.9967360977999276,0.3656426370721103,0.23465703971119134,0.05089334055224689,0.025444374266895244,0.9219858156028369,1.0,1.0
RF,ALL,36766833,14787,0.00040218313064930016,2485.429498884155,0.0012919041328132153,0.998690824514564,0.5382969406056236,0.040044279077863724,0.008013747177482307,0.004008776388935353,0.9956718739433286,0.996280516670048,0.9967539054574964
